Labels,Dsh - Avg,Dsh - Min,Dsh - Max,Dsh - SDV,Sol - Avg,Sol - Min,Sol - Max,Sol - SDV,Str- Avg,Str - Min,Str - Max,Str - SDV,Agi - Avg,Agi - Min,Agi - Max,Agi - SDV,BJ - Avg,BJ - Min,BJ - Max,BJ - SDV,Pos - Avg,Pos - Min,Pos - Max,Pos - SDV
QB,4.86,0,0,0.11,26.5,0,0,6.5,10.5,0,0,1.5,7.845,0,0,0.21,107,0,0,4,69,0,0,7
RB,4.66,0,0,0.07,18.5,0,0,4.5,15,0,0,2,7.395,0,0,0.14,119,0,0,4,19.5,0,0,4.5
FB,4.785,0,0,0.07,20,0,0,4,20.5,0,0,2.5,7.665,0,0,0.19,107,0,0,4,24.5,0,0,5.5
TE,4.8,0,0,0.07,21.5,0,0,4.5,22.5,0,0,2.5,7.845,0,0,0.21,107.5,0,0,4.5,32,0,0,7
WR,4.55,0,0,0.08,18.5,0,0,4.5,11,0,0,2,7.24,0,0,0.12,119.5,0,0,4.5,42.5,0,0,7.5
C,5.31,0,0,0.07,24.5,0,0,4.5,25,0,0,3,8.04,0,0,0.12,94,0,0,4,0,0,0,0
G,5.28,0,0,0.08,22.5,0,0,4.5,27.5,0,0,2.5,7.985,0,0,0.17,94,0,0,4,0,0,0,0
T,5.3,0,0,0.10,22,0,0,5,28,0,0,3,7.885,0,0,0.17,96,0,0,4,0,0,0,0
P,5.095,0,0,0.11,22,0,0,5,10,0,0,2,7.865,0,0,0.18,107,0,0,4,0,0,0,0
K,5.15,0,0,0.08,23.5,0,0,4.5,9,0,0,2,7.865,0,0,0.19,107,0,0,4,0,0,0,0
DE,4.885,0,0,0.09,21,0,0,5,26.5,0,0,2.5,7.665,0,0,0.19,111.5,0,0,4.5,0,0,0,0
DT,5.115,0,0,0.09,19.5,0,0,4.5,28.5,0,0,2.5,7.88,0,0,0.20,102,0,0,6,0,0,0,0
ILB,4.875,0,0,0.07,24.5,0,0,4.5,21.5,0,0,2.5,7.66,0,0,0.15,109,0,0,4,28,0,0,6
OLB,4.735,0,0,0.08,22.5,0,0,4.5,17.5,0,0,2.5,7.44,0,0,0.12,113,0,0,4,28,0,0,6
CB,4.54,0,0,0.06,19.5,0,0,4.5,12,0,0,2,7.24,0,0,0.12,119,0,0,4,37,0,0,7
S,4.615,0,0,0.07,26,0,0,5,15,0,0,2,7.395,0,0,0.14,113,0,0,3,37,0,0,7
