Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Endurance,Long_Snapping,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,EnduranceZ,Long_SnappingZ,PeakCur,PeakCurZ,Ability,Draftable
37,30,95,0,827,531,31,38,17,0,33,54,1,0.749746707193516,1.53526970954357,0.986547085201793,NaN,-0.681818181818183,0.300751879699248,0.31,0.48,0.17,0.00,0.33,0.54,0.01,17,0.17,1,0
27,28,89,0,800,550,38,32,0,29,45,16,11,-0.263424518743668,1.12033195020747,0.0896860986547077,NaN,0.545454545454542,-1.12781954887218,0.38,0.40,0.00,0.29,0.45,0.16,0.11,21,0.21,1,0
15,28,86,0,781,513,43,56,52,57,42,35,14,-1.47922998986829,1.12033195020747,-0.358744394618835,NaN,1.40909090909091,1.65413533834586,0.43,0.70,0.52,0.57,0.42,0.35,0.14,51,0.51,3,1
31,30,84,0,800,539,31,36,8,21,48,14,7,0.141843971631206,1.53526970954357,-0.657698056801197,NaN,0.545454545454542,-0.300751879699248,0.31,0.45,0.08,0.21,0.48,0.14,0.07,26,0.26,1,0
42,19,91,0,778,531,43,46,30,65,10,35,11,1.25633232016211,-0.746887966804979,0.388639760837069,NaN,1.54545454545454,0.300751879699248,0.43,0.58,0.30,0.65,0.10,0.35,0.11,53,0.53,3,1
18,17,79,0,840,550,12,16,0,0,0,0,0,-1.17527862208713,-1.16182572614108,-1.4050822122571,NaN,-1.27272727272728,-1.12781954887218,0.12,0.20,0.00,0.00,0.00,0.00,0.00,1,0.01,0,0
35,23,93,0,800,538,14,30,10,16,18,20,9,0.547112462006079,0.0829875518672196,0.687593423019431,NaN,0.545454545454542,-0.225563909774438,0.14,0.38,0.10,0.16,0.18,0.20,0.09,29,0.29,1,0
13,26,81,0,832,514,14,32,61,0,37,2,5,-1.68186423505572,0.705394190871369,-1.10612855007474,NaN,-0.909090909090914,1.57894736842105,0.14,0.40,0.61,0.00,0.37,0.02,0.05,38,0.38,2,0
35,19,85,0,806,524,10,35,54,14,4,26,0,0.547112462006079,-0.746887966804979,-0.508221225710016,NaN,0.272727272727267,0.827067669172928,0.10,0.44,0.54,0.14,0.04,0.26,0.00,7,0.07,0,0
14,17,82,0,835,550,26,10,0,0,0,0,18,-1.58054711246201,-1.16182572614108,-0.956651718983558,NaN,-1.04545454545455,-1.12781954887218,0.26,0.13,0.00,0.00,0.00,0.00,0.18,6,0.06,0,0
40,18,97,0,784,549,13,28,0,51,0,59,0,1.05369807497467,-0.954356846473029,1.28550074738415,NaN,1.27272727272727,-1.05263157894737,0.13,0.35,0.00,0.51,0.00,0.59,0.00,8,0.08,0,0
17,18,84,0,835,548,30,14,0,0,0,0,9,-1.27659574468085,-0.954356846473029,-0.657698056801197,NaN,-1.04545454545455,-0.977443609022562,0.30,0.18,0.00,0.00,0.00,0.00,0.09,2,0.02,0,0
17,27,95,0,782,516,33,54,43,53,48,65,2,-1.27659574468085,0.912863070539419,0.986547085201793,NaN,1.36363636363636,1.42857142857142,0.33,0.68,0.43,0.53,0.48,0.65,0.02,62,0.62,3,1
49,34,104,0,766,492,20,71,77,65,71,77,3,1.96555217831814,2.36514522821577,2.33183856502242,NaN,2.09090909090909,3.23308270676691,0.20,0.89,0.77,0.65,0.71,0.77,0.03,87,0.87,5,1
13,25,88,0,784,511,26,49,59,44,19,17,0,-1.68186423505572,0.497925311203319,-0.0597907324364732,NaN,1.27272727272727,1.80451127819548,0.26,0.61,0.59,0.44,0.19,0.17,0.00,54,0.54,3,1
24,18,97,0,828,534,10,25,27,0,2,55,16,-0.567375886524823,-0.954356846473029,1.28550074738415,NaN,-0.727272727272728,0.0751879699248104,0.10,0.31,0.27,0.00,0.02,0.55,0.16,7,0.07,0,0
39,17,84,0,840,548,50,18,0,0,0,0,36,0.952380952380952,-1.16182572614108,-0.657698056801197,NaN,-1.27272727272728,-0.977443609022562,0.50,0.23,0.00,0.00,0.00,0.00,0.36,9,0.09,0,0
