Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Man_to_Man_Defense,Zone_Defense,Bump_and_Run_Defense,Play_Diagnosis,Punishing_Hitter,Intercepting,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Man_to_Man_DefenseZ,Zone_DefenseZ,Bump_and_Run_DefenseZ,Play_DiagnosisZ,Punishing_HitterZ,InterceptingZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
29,13,107,41,710,448,61,55,28,53,46,38,40,10,21,0,0,16,39,0.985507246376812,0.8203125,-0.0459770114942535,0.636942675159236,0.796019900497513,0.886075949367081,0.61,0.69,0.28,0.53,0.46,0.38,0.40,0.10,0.21,0.00,0.00,0.16,0.39,37,0.37,2,0
12,10,104,38,701,461,45,39,65,9,51,17,0,12,68,0,2,0,4,-1.47826086956522,-0.3515625,-0.735632183908047,0.318471337579618,1.24378109452736,-0.759493670886082,0.45,0.49,0.65,0.09,0.51,0.17,0.00,0.12,0.68,0.00,0.02,0.00,0.04,13,0.13,0,0
15,6,115,39,700,460,64,39,23,25,14,0,29,7,23,47,0,22,33,-1.04347826086956,-1.9140625,1.79310344827586,0.424628450106157,1.29353233830846,-0.632911392405061,0.64,0.49,0.23,0.25,0.14,0.00,0.29,0.07,0.23,0.47,0.00,0.22,0.33,29,0.29,1,0
19,12,105,46,730,452,31,41,10,24,49,32,20,11,41,0,0,37,25,-0.463768115942029,0.4296875,-0.505747126436782,1.16772823779193,-0.199004975124378,0.379746835443041,0.31,0.51,0.10,0.24,0.49,0.32,0.20,0.11,0.41,0.00,0.00,0.37,0.25,30,0.30,1,0
36,12,108,23,753,458,43,36,0,67,40,15,68,64,0,0,0,68,54,2,0.4296875,0.183908045977011,-1.27388535031847,-1.34328358208955,-0.379746835443041,0.43,0.45,0.00,0.67,0.40,0.15,0.68,0.64,0.00,0.00,0.00,0.68,0.54,12,0.12,0,0
31,7,104,19,700,469,33,28,64,0,0,0,41,10,2,0,0,68,40,1.27536231884058,-1.5234375,-0.735632183908047,-1.69851380042463,1.29353233830846,-1.77215189873418,0.33,0.35,0.64,0.00,0.00,0.00,0.41,0.10,0.02,0.00,0.00,0.68,0.40,5,0.05,0,0
16,14,117,44,707,456,51,51,46,50,0,68,0,23,68,0,48,68,36,-0.898550724637681,1.2109375,2.25287356321839,0.955414012738854,0.945273631840793,-0.12658227848101,0.51,0.64,0.46,0.50,0.00,0.68,0.00,0.23,0.68,0.00,0.48,0.68,0.36,27,0.27,1,0
25,13,105,42,757,457,40,38,0,5,38,39,67,4,64,2,0,52,68,0.405797101449275,0.8203125,-0.505747126436782,0.743099787685775,-1.54228855721393,-0.253164556962031,0.40,0.48,0.00,0.05,0.38,0.39,0.67,0.04,0.64,0.02,0.00,0.52,0.68,16,0.16,1,0
19,12,107,37,747,452,46,41,4,33,37,35,48,16,0,0,0,68,64,-0.463768115942029,0.4296875,-0.0459770114942535,0.212314225053079,-1.04477611940298,0.379746835443041,0.46,0.51,0.04,0.33,0.37,0.35,0.48,0.16,0.00,0.00,0.00,0.68,0.64,37,0.37,2,0
21,8,108,18,746,449,58,32,28,17,0,0,0,0,0,0,0,1,0,-0.173913043478261,-1.1328125,0.183908045977011,-1.80467091295117,-0.995024875621891,0.759493670886071,0.58,0.40,0.28,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,12,0.12,0,0
24,12,104,28,760,459,36,30,0,12,9,14,0,58,2,0,0,0,6,0.260869565217391,0.4296875,-0.735632183908047,-0.743099787685775,-1.69154228855721,-0.506329113924051,0.36,0.38,0.00,0.12,0.09,0.14,0.00,0.58,0.02,0.00,0.00,0.00,0.06,9,0.09,0,0
26,8,108,43,729,450,45,41,12,19,58,8,12,0,48,0,40,67,32,0.55072463768116,-1.1328125,0.183908045977011,0.849256900212314,-0.149253731343285,0.632911392405061,0.45,0.51,0.12,0.19,0.58,0.08,0.12,0.00,0.48,0.00,0.40,0.67,0.32,18,0.18,1,0
19,9,106,44,760,448,42,37,0,46,23,0,9,35,25,0,0,17,28,-0.463768115942029,-0.7421875,-0.275862068965518,0.955414012738854,-1.69154228855721,0.886075949367081,0.42,0.46,0.00,0.46,0.23,0.00,0.09,0.35,0.25,0.00,0.00,0.17,0.28,14,0.14,0,0
24,12,105,40,751,447,52,43,0,50,22,18,0,23,32,0,0,0,0,0.260869565217391,0.4296875,-0.505747126436782,0.530785562632696,-1.24378109452736,1.0126582278481,0.52,0.54,0.00,0.50,0.22,0.18,0.00,0.23,0.32,0.00,0.00,0.00,0.00,19,0.19,1,0
25,12,107,41,720,448,26,46,43,40,41,50,55,43,63,0,0,17,57,0.405797101449275,0.4296875,-0.0459770114942535,0.636942675159236,0.298507462686565,0.886075949367081,0.26,0.58,0.43,0.40,0.41,0.50,0.55,0.43,0.63,0.00,0.00,0.17,0.57,27,0.27,1,0
