Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Pass_Rush_Technique,Pass_Rush_Strength,Play_Diagnosis,Punishing_Hitter,Endurance,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Pass_Rush_TechniqueZ,Pass_Rush_StrengthZ,Play_DiagnosisZ,Punishing_HitterZ,EnduranceZ,PeakCur,PeakCurZ,Ability,Draftable
21,27,97,0,806,498,19,25,47,3,22,3,14,0,-0.381231671554252,0.330788804071247,-1.47138964577657,NaN,-1.26666666666667,-0.571428571428572,0.19,0.31,0.47,0.03,0.22,0.03,0.14,0.00,10,0.10,0,0
32,26,110,0,762,477,38,43,4,29,16,48,0,11,1.2316715542522,0.0763358778625956,0.299727520435968,NaN,0.199999999999999,0.928571428571434,0.38,0.54,0.04,0.29,0.16,0.48,0.00,0.11,22,0.22,1,0
21,31,123,0,718,468,26,62,46,60,46,42,56,68,-0.381231671554252,1.34860050890585,2.0708446866485,NaN,1.66666666666667,1.57142857142858,0.26,0.78,0.46,0.60,0.46,0.42,0.56,0.68,68,0.68,3,1
24,29,111,0,820,476,44,40,0,39,54,7,27,3,0.0586510263929617,0.83969465648855,0.435967302452316,NaN,-1.73333333333333,1,0.44,0.50,0.00,0.39,0.54,0.07,0.27,0.03,40,0.40,2,1
13,26,100,0,760,499,18,30,21,26,25,0,0,28,-1.55425219941349,0.0763358778625956,-1.06267029972752,NaN,0.266666666666667,-0.642857142857142,0.18,0.38,0.21,0.26,0.25,0.00,0.00,0.28,11,0.11,0,0
31,27,108,0,736,515,31,39,27,0,37,50,7,10,1.08504398826979,0.330788804071247,0.0272479564032701,NaN,1.06666666666666,-1.78571428571429,0.31,0.49,0.27,0.00,0.37,0.50,0.07,0.10,18,0.18,1,0
21,27,101,0,812,485,28,28,0,14,3,0,33,0,-0.381231671554252,0.330788804071247,-0.926430517711171,NaN,-1.46666666666667,0.357142857142862,0.28,0.35,0.00,0.14,0.03,0.00,0.33,0.00,11,0.11,0,0
21,28,113,0,751,499,41,43,37,7,41,39,33,31,-0.381231671554252,0.585241730279898,0.708446866485014,NaN,0.566666666666666,-0.642857142857142,0.41,0.54,0.37,0.07,0.41,0.39,0.33,0.31,30,0.30,1,0
16,19,102,0,753,515,6,19,32,1,0,0,17,0,-1.11436950146628,-1.70483460559796,-0.790190735694823,NaN,0.499999999999998,-1.78571428571429,0.06,0.24,0.32,0.01,0.00,0.00,0.17,0.00,1,0.01,0,0
10,25,97,0,820,485,26,21,0,27,23,0,0,0,-1.9941348973607,-0.178117048346056,-1.47138964577657,NaN,-1.73333333333333,0.357142857142862,0.26,0.26,0.00,0.27,0.23,0.00,0.00,0.00,9,0.09,0,0
14,22,96,0,760,485,43,38,43,35,18,0,2,8,-1.40762463343109,-0.94147582697201,-1.60762942779292,NaN,0.266666666666667,0.357142857142862,0.43,0.48,0.43,0.35,0.18,0.00,0.02,0.08,20,0.20,1,0
21,29,115,0,786,515,34,31,0,0,36,0,29,39,-0.381231671554252,0.83969465648855,0.980926430517712,NaN,-0.600000000000002,-1.78571428571429,0.34,0.39,0.00,0.00,0.36,0.00,0.29,0.39,18,0.18,1,0
24,25,100,0,748,500,51,40,24,0,33,48,0,0,0.0586510263929617,-0.178117048346056,-1.06267029972752,NaN,0.666666666666664,-0.714285714285712,0.51,0.50,0.24,0.00,0.33,0.48,0.00,0.00,20,0.20,1,0
25,32,113,0,718,476,53,65,68,59,60,0,37,68,0.205278592375366,1.6030534351145,0.708446866485014,NaN,1.66666666666667,1,0.53,0.81,0.68,0.59,0.60,0.00,0.37,0.68,57,0.57,3,1
21,27,99,0,774,512,46,34,47,2,38,16,0,0,-0.381231671554252,0.330788804071247,-1.19891008174387,NaN,-0.200000000000002,-1.57142857142857,0.46,0.43,0.47,0.02,0.38,0.16,0.00,0.00,18,0.18,1,0
30,30,107,0,745,487,32,48,40,24,51,0,29,68,0.93841642228739,1.0941475826972,-0.108991825613079,NaN,0.766666666666665,0.214285714285716,0.32,0.60,0.40,0.24,0.51,0.00,0.29,0.68,44,0.44,2,1
21,27,109,0,784,515,23,28,21,0,29,41,27,30,-0.381231671554252,0.330788804071247,0.163487738419619,NaN,-0.533333333333334,-1.78571428571429,0.23,0.35,0.21,0.00,0.29,0.41,0.27,0.30,16,0.16,1,0
17,22,111,0,820,485,37,30,0,23,17,31,15,57,-0.967741935483871,-0.94147582697201,0.435967302452316,NaN,-1.73333333333333,0.357142857142862,0.37,0.38,0.00,0.23,0.17,0.31,0.15,0.57,16,0.16,1,0
24,26,106,0,735,485,21,42,66,20,23,16,13,7,0.0586510263929617,0.0763358778625956,-0.245231607629427,NaN,1.1,0.357142857142862,0.21,0.53,0.66,0.20,0.23,0.16,0.13,0.07,20,0.20,1,0
21,28,116,0,756,515,27,37,37,0,58,20,46,18,-0.381231671554252,0.585241730279898,1.11716621253406,NaN,0.4,-1.78571428571429,0.27,0.46,0.37,0.00,0.58,0.20,0.46,0.18,36,0.36,2,0
25,21,110,0,739,485,33,37,11,0,0,10,40,29,0.205278592375366,-1.19592875318066,0.299727520435968,NaN,0.966666666666667,0.357142857142862,0.33,0.46,0.11,0.00,0.00,0.10,0.40,0.29,15,0.15,0,0
29,19,99,0,748,515,37,31,68,0,5,48,0,0,0.791788856304985,-1.70483460559796,-1.19891008174387,NaN,0.666666666666664,-1.78571428571429,0.37,0.39,0.68,0.00,0.05,0.48,0.00,0.00,13,0.13,0,0
25,31,104,0,795,502,18,30,14,0,54,44,26,4,0.205278592375366,1.34860050890585,-0.517711171662125,NaN,-0.900000000000002,-0.857142857142851,0.18,0.38,0.14,0.00,0.54,0.44,0.26,0.04,17,0.17,1,0
21,27,103,0,747,515,33,34,28,0,37,0,41,0,-0.381231671554252,0.330788804071247,-0.653950953678474,NaN,0.7,-1.78571428571429,0.33,0.43,0.28,0.00,0.37,0.00,0.41,0.00,16,0.16,1,0
31,35,116,0,751,489,24,50,32,6,68,68,68,42,1.08504398826979,2.36641221374046,1.11716621253406,NaN,0.566666666666666,0.0714285714285762,0.24,0.63,0.32,0.06,0.68,0.68,0.68,0.42,50,0.50,2,1
