Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Power_Inside,Third_Down_Runs,Hole_Recognition,Blitz_Pickup,Avoid_Drops,Route_Running,Third_Down_Receiving,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,Power_InsideZ,Third_Down_RunsZ,Hole_RecognitionZ,Blitz_PickupZ,Avoid_DropsZ,Route_RunningZ,Third_Down_ReceivingZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
34,15,107,35,748,474,38,50,48,43,50,0,74,76,77,55,63,36,56,77,2.10434782608696,-1.23076923076923,0.611439842209072,1.54460719041278,0.502512562814069,0.89743589743589,0.38,0.63,0.48,0.43,0.50,0.00,0.74,0.76,0.77,0.55,0.63,0.36,0.56,0.77,56,0.56,3,1
20,17,96,17,751,491,40,28,11,30,2,5,0,42,17,48,16,24,22,70,-0.330434782608695,-0.717948717948718,-1.55818540433925,-0.85219707057257,0.351758793969851,-1.28205128205129,0.40,0.35,0.11,0.30,0.02,0.05,0.00,0.42,0.17,0.48,0.16,0.24,0.22,0.70,13,0.13,0,0
24,21,105,24,750,490,33,42,38,0,18,53,65,53,0,10,41,48,43,43,0.365217391304348,0.307692307692308,0.216962524654831,0.0798934753661786,0.402010050251257,-1.15384615384616,0.33,0.53,0.38,0.00,0.18,0.53,0.65,0.53,0.00,0.10,0.41,0.48,0.43,0.43,37,0.37,2,0
26,23,98,14,736,481,51,39,43,20,44,45,0,29,0,31,22,36,42,0,0.71304347826087,0.82051282051282,-1.16370808678501,-1.25166444740346,1.10552763819095,0,0.51,0.49,0.43,0.20,0.44,0.45,0.00,0.29,0.00,0.31,0.22,0.36,0.42,0.00,20,0.20,1,0
21,23,100,22,760,471,43,39,0,5,18,52,32,31,30,28,14,44,6,44,-0.156521739130435,0.82051282051282,-0.76923076923077,-0.186418109187749,-0.100502512562812,1.28205128205128,0.43,0.49,0.00,0.05,0.18,0.52,0.32,0.31,0.30,0.28,0.14,0.44,0.06,0.44,18,0.18,1,0
28,23,111,25,743,485,47,49,33,0,45,33,37,0,34,0,0,0,21,30,1.06086956521739,0.82051282051282,1.40039447731755,0.213049267643143,0.753768844221107,-0.512820512820513,0.47,0.61,0.33,0.00,0.45,0.33,0.37,0.00,0.34,0.00,0.00,0.00,0.21,0.30,19,0.19,1,0
16,26,114,22,741,479,45,52,50,37,21,57,70,26,26,53,25,0,15,64,-1.02608695652174,1.58974358974359,1.99211045364891,-0.186418109187749,0.854271356783919,0.256410256410251,0.45,0.65,0.50,0.37,0.21,0.57,0.70,0.26,0.26,0.53,0.25,0.00,0.15,0.64,33,0.33,2,0
10,20,94,19,793,495,36,22,14,31,27,27,29,1,16,42,47,9,19,11,-2.0695652173913,0.0512820512820511,-1.95266272189349,-0.585885486018642,-1.75879396984924,-1.7948717948718,0.36,0.28,0.14,0.31,0.27,0.27,0.29,0.01,0.16,0.42,0.47,0.09,0.19,0.11,11,0.11,0,0
14,15,108,20,775,476,53,38,23,23,18,0,38,39,42,7,0,23,61,41,-1.37391304347826,-1.23076923076923,0.808678500986192,-0.452729693741678,-0.854271356783919,0.641025641025639,0.53,0.48,0.23,0.23,0.18,0.00,0.38,0.39,0.42,0.07,0.00,0.23,0.61,0.41,20,0.20,1,0
22,18,100,20,753,481,32,32,0,24,26,13,35,53,29,0,0,10,46,67,0.0173913043478263,-0.461538461538462,-0.76923076923077,-0.452729693741678,0.251256281407034,0,0.32,0.40,0.00,0.24,0.26,0.13,0.35,0.53,0.29,0.00,0.00,0.10,0.46,0.67,12,0.12,0,0
32,24,108,39,760,471,30,54,44,38,0,32,57,41,65,55,54,33,63,0,1.75652173913044,1.07692307692308,0.808678500986192,2.07723035952064,-0.100502512562812,1.28205128205128,0.30,0.68,0.44,0.38,0.00,0.32,0.57,0.41,0.65,0.55,0.54,0.33,0.63,0.00,40,0.40,2,1
18,14,93,24,757,481,44,27,0,17,0,2,7,9,37,4,7,13,0,10,-0.678260869565217,-1.48717948717949,-2.14990138067061,0.0798934753661786,0.050251256281406,0,0.44,0.34,0.00,0.17,0.00,0.02,0.07,0.09,0.37,0.04,0.07,0.13,0.00,0.10,11,0.11,0,0
25,18,108,22,754,478,40,47,65,33,14,15,24,55,60,59,22,38,27,30,0.539130434782609,-0.461538461538462,0.808678500986192,-0.186418109187749,0.201005025125628,0.384615384615376,0.40,0.59,0.65,0.33,0.14,0.15,0.24,0.55,0.60,0.59,0.22,0.38,0.27,0.30,32,0.32,2,0
26,15,109,35,741,482,47,49,41,35,13,3,41,30,28,15,68,8,56,13,0.71304347826087,-1.23076923076923,1.00591715976331,1.54460719041278,0.854271356783919,-0.128205128205137,0.47,0.61,0.41,0.35,0.13,0.03,0.41,0.30,0.28,0.15,0.68,0.08,0.56,0.13,37,0.37,2,0
24,24,105,25,760,477,23,38,25,9,0,48,16,7,22,28,49,5,7,0,0.365217391304348,1.07692307692308,0.216962524654831,0.213049267643143,-0.100502512562812,0.512820512820513,0.23,0.48,0.25,0.09,0.00,0.48,0.16,0.07,0.22,0.28,0.49,0.05,0.07,0.00,15,0.15,0,0
21,21,110,24,729,476,44,47,0,23,22,27,56,24,28,34,41,0,20,0,-0.156521739130435,0.307692307692308,1.20315581854043,0.0798934753661786,1.4572864321608,0.641025641025639,0.44,0.59,0.00,0.23,0.22,0.27,0.56,0.24,0.28,0.34,0.41,0.00,0.20,0.00,16,0.16,1,0
23,18,105,12,757,493,37,33,43,42,0,14,33,52,0,16,14,4,0,23,0.191304347826087,-0.461538461538462,0.216962524654831,-1.51797603195739,0.050251256281406,-1.53846153846154,0.37,0.41,0.43,0.42,0.00,0.14,0.33,0.52,0.00,0.16,0.14,0.04,0.00,0.23,14,0.14,0,0
14,25,104,15,730,472,47,42,31,35,0,44,58,24,49,17,0,12,65,0,-1.37391304347826,1.33333333333333,0.0197238658777109,-1.1185086551265,1.4070351758794,1.15384615384615,0.47,0.53,0.31,0.35,0.00,0.44,0.58,0.24,0.49,0.17,0.00,0.12,0.65,0.00,18,0.18,1,0
21,24,111,30,745,468,45,54,54,27,40,50,45,50,10,30,52,42,35,51,-0.156521739130435,1.07692307692308,1.40039447731755,0.878828229027963,0.653266331658291,1.66666666666667,0.45,0.68,0.54,0.27,0.40,0.50,0.45,0.50,0.10,0.30,0.52,0.42,0.35,0.51,51,0.51,3,1
