Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Endurance,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,EnduranceZ,PeakCur,PeakCurZ,Ability,Draftable
29,25,88,0,807,546,21,22,0,10,18,27,0.102459016393443,-0.398126463700234,-0.316455696202532,NaN,-0.186567164179107,-1.25925925925926,0.21,0.28,0.00,0.10,0.18,0.27,9,0.09,0,0
28,23,79,0,816,542,48,25,8,9,3,0,0,-0.866510538641686,-1.74050632911392,NaN,-0.522388059701495,-0.962962962962962,0.48,0.31,0.08,0.09,0.03,0.00,8,0.08,0,0
23,24,88,0,789,519,23,42,63,46,20,33,-0.512295081967213,-0.63231850117096,-0.316455696202532,NaN,0.485074626865671,0.740740740740738,0.23,0.53,0.63,0.46,0.20,0.33,52,0.52,3,1
27,24,88,0,796,527,16,31,30,17,9,28,-0.102459016393443,-0.63231850117096,-0.316455696202532,NaN,0.223880597014924,0.148148148148152,0.16,0.39,0.30,0.17,0.09,0.28,9,0.09,0,0
41,27,82,0,847,517,4,28,30,0,40,0,1.33196721311475,0.070257611241218,-1.26582278481013,NaN,-1.67910447761194,0.88888888888889,0.04,0.35,0.30,0.00,0.40,0.00,11,0.11,0,0
17,30,89,0,820,531,1,26,20,8,39,25,-1.12704918032787,0.772833723653396,-0.158227848101266,NaN,-0.671641791044775,-0.148148148148145,0.01,0.33,0.20,0.08,0.39,0.25,11,0.11,0,0
20,31,95,0,790,499,13,52,73,26,44,47,-0.819672131147541,1.00702576112412,0.791139240506329,NaN,0.447761194029848,2.22222222222222,0.13,0.65,0.73,0.26,0.44,0.47,38,0.38,2,0
35,21,96,0,834,513,26,33,39,1,0,30,0.717213114754098,-1.33489461358314,0.949367088607595,NaN,-1.19402985074627,1.18518518518519,0.26,0.41,0.39,0.01,0.00,0.30,12,0.12,0,0
23,32,91,0,782,503,28,53,42,35,63,31,-0.512295081967213,1.24121779859485,0.158227848101266,NaN,0.746268656716415,1.92592592592592,0.28,0.66,0.42,0.35,0.63,0.31,74,0.74,4,1
37,28,89,0,770,525,11,44,39,51,34,29,0.922131147540984,0.304449648711944,-0.158227848101266,NaN,1.19402985074627,0.296296296296297,0.11,0.55,0.39,0.51,0.34,0.29,39,0.39,2,0
47,27,92,0,790,540,17,31,0,30,16,26,1.94672131147541,0.070257611241218,0.316455696202532,NaN,0.447761194029848,-0.814814814814817,0.17,0.39,0.00,0.30,0.16,0.26,8,0.08,0,0
41,34,89,0,831,550,25,27,0,0,52,12,1.33196721311475,1.7096018735363,-0.158227848101266,NaN,-1.08208955223881,-1.55555555555556,0.25,0.34,0.00,0.00,0.52,0.12,13,0.13,0,0
36,22,84,0,850,518,21,25,32,0,0,0,0.819672131147541,-1.10070257611241,-0.949367088607595,NaN,-1.7910447761194,0.814814814814817,0.21,0.31,0.32,0.00,0.00,0.00,5,0.05,0,0
19,21,82,0,775,536,48,32,10,43,0,0,-0.922131147540984,-1.33489461358314,-1.26582278481013,NaN,1.00746268656716,-0.518518518518521,0.48,0.40,0.10,0.43,0.00,0.00,10,0.10,0,0
14,22,98,0,785,499,33,49,65,30,0,50,-1.4344262295082,-1.10070257611241,1.26582278481013,NaN,0.634328358208955,2.22222222222222,0.33,0.61,0.65,0.30,0.00,0.50,55,0.55,3,1
26,21,90,0,785,518,35,40,34,37,0,33,-0.204918032786885,-1.33489461358314,0,NaN,0.634328358208955,0.814814814814817,0.35,0.50,0.34,0.37,0.00,0.33,13,0.13,0,0
35,27,92,0,789,536,20,32,12,19,17,11,0.717213114754098,0.070257611241218,0.316455696202532,NaN,0.485074626865671,-0.518518518518521,0.20,0.40,0.12,0.19,0.17,0.11,12,0.12,0,0
11,31,82,0,788,527,33,42,28,50,50,0,-1.74180327868852,1.00702576112412,-1.26582278481013,NaN,0.522388059701491,0.148148148148152,0.33,0.53,0.28,0.50,0.50,0.00,36,0.36,2,0
34,27,88,0,816,550,17,22,0,12,36,19,0.614754098360656,0.070257611241218,-0.316455696202532,NaN,-0.522388059701495,-1.55555555555556,0.17,0.28,0.00,0.12,0.36,0.19,14,0.14,0,0
34,35,99,0,760,541,10,44,0,63,61,70,0.614754098360656,1.94379391100703,1.42405063291139,NaN,1.56716417910448,-0.88888888888889,0.10,0.55,0.00,0.63,0.61,0.70,25,0.25,1,0
39,22,89,0,840,527,15,23,18,0,0,21,1.12704918032787,-1.10070257611241,-0.158227848101266,NaN,-1.4179104477612,0.148148148148152,0.15,0.29,0.18,0.00,0.00,0.21,3,0.03,0,0
20,21,96,0,795,523,37,38,42,11,0,45,-0.819672131147541,-1.33489461358314,0.949367088607595,NaN,0.261194029850744,0.444444444444442,0.37,0.48,0.42,0.11,0.00,0.45,13,0.13,0,0
29,27,98,0,767,532,32,46,18,53,14,33,0.102459016393443,0.070257611241218,1.26582278481013,NaN,1.30597014925373,-0.222222222222224,0.32,0.58,0.18,0.53,0.14,0.33,29,0.29,1,0
30,22,89,0,790,534,29,28,0,10,0,10,0.204918032786885,-1.10070257611241,-0.158227848101266,NaN,0.447761194029848,-0.370370370370369,0.29,0.35,0.00,0.10,0.00,0.10,5,0.05,0,0
24,31,80,0,770,515,20,50,46,69,55,0,-0.409836065573771,1.00702576112412,-1.58227848101266,NaN,1.19402985074627,1.03703703703703,0.20,0.63,0.46,0.69,0.55,0.00,55,0.55,3,1
33,26,83,0,776,529,12,37,39,28,12,0,0.512295081967213,-0.163934426229508,-1.10759493670886,NaN,0.970149253731342,0,0.12,0.46,0.39,0.28,0.12,0.00,6,0.06,0,0
23,27,93,0,790,550,13,26,0,24,32,46,-0.512295081967213,0.070257611241218,0.474683544303797,NaN,0.447761194029848,-1.55555555555556,0.13,0.33,0.00,0.24,0.32,0.46,14,0.14,0,0
38,27,106,0,765,533,40,50,22,65,19,71,1.02459016393443,0.070257611241218,2.53164556962025,NaN,1.38059701492537,-0.296296296296297,0.40,0.63,0.22,0.65,0.19,0.71,49,0.49,2,1
23,29,92,0,774,515,12,47,50,37,33,28,-0.512295081967213,0.53864168618267,0.316455696202532,NaN,1.04477611940298,1.03703703703703,0.12,0.59,0.50,0.37,0.33,0.28,40,0.40,2,1
17,23,90,0,790,539,43,29,0,21,0,13,-1.12704918032787,-0.866510538641686,0,NaN,0.447761194029848,-0.740740740740738,0.43,0.36,0.00,0.21,0.00,0.13,5,0.05,0,0
13,30,89,0,790,545,16,25,1,9,41,16,-1.53688524590164,0.772833723653396,-0.158227848101266,NaN,0.447761194029848,-1.18518518518519,0.16,0.31,0.01,0.09,0.41,0.16,13,0.13,0,0
39,30,85,0,790,538,14,33,23,31,36,1,1.12704918032787,0.772833723653396,-0.791139240506329,NaN,0.447761194029848,-0.666666666666666,0.14,0.41,0.23,0.31,0.36,0.01,12,0.12,0,0
28,21,95,0,850,540,18,16,0,0,0,36,0,-1.33489461358314,0.791139240506329,NaN,-1.7910447761194,-0.814814814814817,0.18,0.20,0.00,0.00,0.00,0.36,5,0.05,0,0
11,21,96,0,820,536,12,21,21,6,0,26,-1.74180327868852,-1.33489461358314,0.949367088607595,NaN,-0.671641791044775,-0.518518518518521,0.12,0.26,0.21,0.06,0.00,0.26,4,0.04,0,0
13,26,80,0,846,530,45,28,17,0,13,0,-1.53688524590164,-0.163934426229508,-1.58227848101266,NaN,-1.64179104477612,-0.0740740740740725,0.45,0.35,0.17,0.00,0.13,0.00,11,0.11,0,0
36,27,89,0,800,534,52,44,26,13,29,40,0.819672131147541,0.070257611241218,-0.158227848101266,NaN,0.0746268656716402,-0.370370370370369,0.52,0.55,0.26,0.13,0.29,0.40,16,0.16,1,0
23,25,81,0,850,539,43,24,9,0,13,0,-0.512295081967213,-0.398126463700234,-1.42405063291139,NaN,-1.7910447761194,-0.740740740740738,0.43,0.30,0.09,0.00,0.13,0.00,8,0.08,0,0
41,22,94,0,790,509,21,44,55,54,5,36,1.33196721311475,-1.10070257611241,0.632911392405063,NaN,0.447761194029848,1.48148148148148,0.21,0.55,0.55,0.54,0.05,0.36,16,0.16,1,0
12,27,87,0,778,506,34,50,77,35,20,41,-1.63934426229508,0.070257611241218,-0.474683544303797,NaN,0.895522388059699,1.70370370370371,0.34,0.63,0.77,0.35,0.20,0.41,63,0.63,3,1
44,27,86,0,778,531,22,38,6,30,31,54,1.63934426229508,0.070257611241218,-0.632911392405063,NaN,0.895522388059699,-0.148148148148145,0.22,0.48,0.06,0.30,0.31,0.54,13,0.13,0,0
26,27,87,0,837,537,55,31,7,0,17,10,-0.204918032786885,0.070257611241218,-0.474683544303797,NaN,-1.30597014925373,-0.592592592592593,0.55,0.39,0.07,0.00,0.17,0.10,12,0.12,0,0
19,37,97,0,779,512,19,51,37,28,77,35,-0.922131147540984,2.41217798594848,1.10759493670886,NaN,0.858208955223879,1.25925925925926,0.19,0.64,0.37,0.28,0.77,0.35,67,0.67,3,1
28,21,80,0,779,548,34,23,0,37,0,0,0,-1.33489461358314,-1.58227848101266,NaN,0.858208955223879,-1.40740740740741,0.34,0.29,0.00,0.37,0.00,0.00,5,0.05,0,0
40,21,84,0,805,534,45,32,42,45,0,0,1.22950819672131,-1.33489461358314,-0.949367088607595,NaN,-0.111940298507467,-0.370370370370369,0.45,0.40,0.42,0.45,0.00,0.00,4,0.04,0,0
41,28,98,0,780,546,41,39,0,34,28,42,1.33196721311475,0.304449648711944,1.26582278481013,NaN,0.820895522388059,-1.25925925925926,0.41,0.49,0.00,0.34,0.28,0.42,17,0.17,1,0
27,21,91,0,778,538,26,30,30,46,0,35,-0.102459016393443,-1.33489461358314,0.158227848101266,NaN,0.895522388059699,-0.666666666666666,0.26,0.38,0.30,0.46,0.00,0.35,8,0.08,0,0
31,32,89,0,777,540,9,35,6,59,47,13,0.307377049180328,1.24121779859485,-0.158227848101266,NaN,0.932835820895522,-0.814814814814817,0.09,0.44,0.06,0.59,0.47,0.13,18,0.18,1,0
17,21,95,0,850,541,35,20,8,0,0,34,-1.12704918032787,-1.33489461358314,0.791139240506329,NaN,-1.7910447761194,-0.88888888888889,0.35,0.25,0.08,0.00,0.00,0.34,7,0.07,0,0
23,25,79,0,807,548,31,22,0,17,9,0,-0.512295081967213,-0.398126463700234,-1.74050632911392,NaN,-0.186567164179107,-1.40740740740741,0.31,0.28,0.00,0.17,0.09,0.00,6,0.06,0,0
34,34,86,0,781,536,25,40,6,41,52,3,0.614754098360656,1.7096018735363,-0.632911392405063,NaN,0.783582089552239,-0.518518518518521,0.25,0.50,0.06,0.41,0.52,0.03,22,0.22,1,0
23,23,95,0,822,514,32,38,48,0,0,30,-0.512295081967213,-0.866510538641686,0.791139240506329,NaN,-0.746268656716422,1.11111111111111,0.32,0.48,0.48,0.00,0.00,0.30,10,0.10,0,0
29,29,92,0,822,520,9,37,45,7,38,42,0.102459016393443,0.53864168618267,0.316455696202532,NaN,-0.746268656716422,0.666666666666666,0.09,0.46,0.45,0.07,0.38,0.42,27,0.27,1,0
23,23,97,0,850,521,19,28,34,0,0,25,-0.512295081967213,-0.866510538641686,1.10759493670886,NaN,-1.7910447761194,0.592592592592593,0.19,0.35,0.34,0.00,0.00,0.25,9,0.09,0,0
29,28,91,0,841,527,14,35,41,0,24,53,0.102459016393443,0.304449648711944,0.158227848101266,NaN,-1.45522388059702,0.148148148148152,0.14,0.44,0.41,0.00,0.24,0.53,11,0.11,0,0
39,30,94,0,780,541,17,37,6,36,43,18,1.12704918032787,0.772833723653396,0.632911392405063,NaN,0.820895522388059,-0.88888888888889,0.17,0.46,0.06,0.36,0.43,0.18,16,0.16,1,0
11,29,91,0,790,539,36,37,12,27,40,30,-1.74180327868852,0.53864168618267,0.158227848101266,NaN,0.447761194029848,-0.740740740740738,0.36,0.46,0.12,0.27,0.40,0.30,21,0.21,1,0
11,30,94,0,841,537,26,31,19,0,53,68,-1.74180327868852,0.772833723653396,0.632911392405063,NaN,-1.45522388059702,-0.592592592592593,0.26,0.39,0.19,0.00,0.53,0.68,40,0.40,2,1
18,22,101,0,770,523,41,46,40,48,0,63,-1.02459016393443,-1.10070257611241,1.74050632911392,NaN,1.19402985074627,0.444444444444442,0.41,0.58,0.40,0.48,0.00,0.63,35,0.35,2,0
33,26,80,0,805,527,5,32,38,33,17,0,0.512295081967213,-0.163934426229508,-1.58227848101266,NaN,-0.111940298507467,0.148148148148152,0.05,0.40,0.38,0.33,0.17,0.00,4,0.04,0,0
11,22,78,0,835,547,21,13,26,9,7,0,-1.74180327868852,-1.10070257611241,-1.89873417721519,NaN,-1.23134328358209,-1.33333333333333,0.21,0.16,0.26,0.09,0.07,0.00,4,0.04,0,0
27,23,86,0,788,527,34,32,0,6,3,0,-0.102459016393443,-0.866510538641686,-0.632911392405063,NaN,0.522388059701491,0.148148148148152,0.34,0.40,0.00,0.06,0.03,0.00,10,0.10,0,0
41,26,97,0,838,510,19,41,44,0,22,69,1.33196721311475,-0.163934426229508,1.10759493670886,NaN,-1.34328358208956,1.40740740740741,0.19,0.51,0.44,0.00,0.22,0.69,15,0.15,0,0
20,29,93,0,765,518,24,49,19,66,30,21,-0.819672131147541,0.53864168618267,0.474683544303797,NaN,1.38059701492537,0.814814814814817,0.24,0.61,0.19,0.66,0.30,0.21,45,0.45,2,1
23,21,95,0,787,536,22,28,5,27,0,30,-0.512295081967213,-1.33489461358314,0.791139240506329,NaN,0.559701492537311,-0.518518518518521,0.22,0.35,0.05,0.27,0.00,0.30,8,0.08,0,0
36,27,79,0,850,534,32,26,2,0,17,0,0.819672131147541,0.070257611241218,-1.74050632911392,NaN,-1.7910447761194,-0.370370370370369,0.32,0.33,0.02,0.00,0.17,0.00,9,0.09,0,0
12,27,96,0,842,550,42,24,0,0,24,14,-1.63934426229508,0.070257611241218,0.949367088607595,NaN,-1.49253731343284,-1.55555555555556,0.42,0.30,0.00,0.00,0.24,0.14,13,0.13,0,0
38,25,85,0,790,527,16,33,1,43,16,17,1.02459016393443,-0.398126463700234,-0.791139240506329,NaN,0.447761194029848,0.148148148148152,0.16,0.41,0.01,0.43,0.16,0.17,12,0.12,0,0
41,22,96,0,772,544,28,34,2,55,0,69,1.33196721311475,-1.10070257611241,0.949367088607595,NaN,1.11940298507463,-1.11111111111111,0.28,0.43,0.02,0.55,0.00,0.69,8,0.08,0,0
28,29,83,0,784,525,34,43,19,37,34,9,0,0.53864168618267,-1.10759493670886,NaN,0.671641791044775,0.296296296296297,0.34,0.54,0.19,0.37,0.34,0.09,28,0.28,1,0
26,21,93,0,850,546,9,11,3,0,0,23,-0.204918032786885,-1.33489461358314,0.474683544303797,NaN,-1.7910447761194,-1.25925925925926,0.09,0.14,0.03,0.00,0.00,0.23,2,0.02,0,0
35,22,87,0,790,513,1,29,33,9,0,0,0.717213114754098,-1.10070257611241,-0.474683544303797,NaN,0.447761194029848,1.18518518518519,0.01,0.36,0.33,0.09,0.00,0.00,0,0.00,0,0
27,32,82,0,850,538,17,25,8,0,38,4,-0.102459016393443,1.24121779859485,-1.26582278481013,NaN,-1.7910447761194,-0.666666666666666,0.17,0.31,0.08,0.00,0.38,0.04,13,0.13,0,0
11,21,81,0,777,550,39,24,0,59,0,0,-1.74180327868852,-1.33489461358314,-1.42405063291139,NaN,0.932835820895522,-1.55555555555556,0.39,0.30,0.00,0.59,0.00,0.00,7,0.07,0,0
28,21,89,0,790,531,19,27,18,22,0,17,0,-1.33489461358314,-0.158227848101266,NaN,0.447761194029848,-0.148148148148145,0.19,0.34,0.18,0.22,0.00,0.17,3,0.03,0,0
24,21,89,0,790,550,22,19,0,7,5,0,-0.409836065573771,-1.33489461358314,-0.158227848101266,NaN,0.447761194029848,-1.55555555555556,0.22,0.24,0.00,0.07,0.05,0.00,6,0.06,0,0
11,22,85,0,790,543,48,26,0,25,13,4,-1.74180327868852,-1.10070257611241,-0.791139240506329,NaN,0.447761194029848,-1.03703703703703,0.48,0.33,0.00,0.25,0.13,0.04,11,0.11,0,0
32,30,90,0,850,538,35,30,30,0,31,13,0.409836065573771,0.772833723653396,0,NaN,-1.7910447761194,-0.666666666666666,0.35,0.38,0.30,0.00,0.31,0.13,16,0.16,1,0
47,23,84,0,826,527,37,29,1,0,0,0,1.94672131147541,-0.866510538641686,-0.949367088607595,NaN,-0.895522388059702,0.148148148148152,0.37,0.36,0.01,0.00,0.00,0.00,4,0.04,0,0
44,25,98,0,766,503,18,49,33,24,6,26,1.63934426229508,-0.398126463700234,1.26582278481013,NaN,1.34328358208955,1.92592592592592,0.18,0.61,0.33,0.24,0.06,0.26,22,0.22,1,0
20,26,87,0,801,550,42,28,0,28,14,13,-0.819672131147541,-0.163934426229508,-0.474683544303797,NaN,0.0373134328358201,-1.55555555555556,0.42,0.35,0.00,0.28,0.14,0.13,10,0.10,0,0
29,30,84,0,850,550,8,15,0,0,37,2,0.102459016393443,0.772833723653396,-0.949367088607595,NaN,-1.7910447761194,-1.55555555555556,0.08,0.19,0.00,0.00,0.37,0.02,11,0.11,0,0
38,28,94,0,759,490,18,61,69,69,22,6,1.02459016393443,0.304449648711944,0.632911392405063,NaN,1.6044776119403,2.88888888888889,0.18,0.76,0.69,0.69,0.22,0.06,35,0.35,2,0
40,35,99,0,755,508,16,63,68,69,69,52,1.22950819672131,1.94379391100703,1.42405063291139,NaN,1.75373134328358,1.55555555555556,0.16,0.79,0.68,0.69,0.69,0.52,78,0.78,4,1
23,33,92,0,790,541,16,31,0,37,36,5,-0.512295081967213,1.47540983606557,0.316455696202532,NaN,0.447761194029848,-0.88888888888889,0.16,0.39,0.00,0.37,0.36,0.05,13,0.13,0,0
30,31,90,0,811,524,20,40,33,13,40,32,0.204918032786885,1.00702576112412,0,NaN,-0.335820895522388,0.370370370370369,0.20,0.50,0.33,0.13,0.40,0.32,27,0.27,1,0
37,30,91,0,790,506,36,50,28,18,16,0,0.922131147540984,0.772833723653396,0.158227848101266,NaN,0.447761194029848,1.70370370370371,0.36,0.63,0.28,0.18,0.16,0.00,34,0.34,2,0
25,21,84,0,790,525,23,28,16,13,0,8,-0.307377049180328,-1.33489461358314,-0.949367088607595,NaN,0.447761194029848,0.296296296296297,0.23,0.35,0.16,0.13,0.00,0.08,5,0.05,0,0
41,23,85,0,758,527,24,38,0,24,0,0,1.33196721311475,-0.866510538641686,-0.791139240506329,NaN,1.64179104477612,0.148148148148152,0.24,0.48,0.00,0.24,0.00,0.00,5,0.05,0,0
15,26,98,0,811,535,31,31,0,18,16,17,-1.33196721311475,-0.163934426229508,1.26582278481013,NaN,-0.335820895522388,-0.444444444444442,0.31,0.39,0.00,0.18,0.16,0.17,14,0.14,0,0
31,22,95,0,780,510,25,46,37,52,0,60,0.307377049180328,-1.10070257611241,0.791139240506329,NaN,0.820895522388059,1.40740740740741,0.25,0.58,0.37,0.52,0.00,0.60,25,0.25,1,0
33,21,90,0,834,530,24,26,35,0,0,15,0.512295081967213,-1.33489461358314,0,NaN,-1.19402985074627,-0.0740740740740725,0.24,0.33,0.35,0.00,0.00,0.15,5,0.05,0,0
37,28,83,0,790,529,23,34,8,7,21,9,0.922131147540984,0.304449648711944,-1.10759493670886,NaN,0.447761194029848,0,0.23,0.43,0.08,0.07,0.21,0.09,13,0.13,0,0
21,27,86,0,817,550,18,21,0,0,19,0,-0.717213114754098,0.070257611241218,-0.632911392405063,NaN,-0.559701492537315,-1.55555555555556,0.18,0.26,0.00,0.00,0.19,0.00,9,0.09,0,0
