Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Pass_Rush_Technique,Pass_Rush_Strength,Man_to_Man_Defense,Zone_Defense,Bump_and_Run_Defense,Play_Diagnosis,Punishing_Hitter,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Pass_Rush_TechniqueZ,Pass_Rush_StrengthZ,Man_to_Man_DefenseZ,Zone_DefenseZ,Bump_and_Run_DefenseZ,Play_DiagnosisZ,Punishing_HitterZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
34,17,100,28,792,480,51,36,1,19,0,1,29,6,29,29,56,0,0.973201692524682,-0.934844192634561,-0.741989881956156,0.599739243807041,-1,0.720720720720721,0.51,0.45,0.01,0.19,0.00,0.01,0.29,0.06,0.29,0.29,0.56,0.00,15,0.15,0,0
24,21,95,10,797,486,38,27,8,21,12,0,0,48,48,39,18,0,-0.437235543018336,0.198300283286119,-1.58516020236088,-1.7470664928292,-1.20833333333333,0.180180180180176,0.38,0.34,0.08,0.21,0.12,0.00,0.00,0.48,0.48,0.39,0.18,0.00,13,0.13,0,0
36,21,116,29,753,468,20,48,42,28,15,37,34,68,40,22,17,6,1.25528913963329,0.198300283286119,1.95615514333895,0.730117340286832,0.624999999999998,1.8018018018018,0.20,0.60,0.42,0.28,0.15,0.37,0.34,0.68,0.40,0.22,0.17,0.06,31,0.31,2,0
24,21,102,30,809,486,21,24,0,22,17,0,14,14,12,24,18,31,-0.437235543018336,0.198300283286119,-0.404721753794267,0.860495436766623,-1.70833333333333,0.180180180180176,0.21,0.30,0.00,0.22,0.17,0.00,0.14,0.14,0.12,0.24,0.18,0.31,7,0.07,0,0
32,24,110,23,736,506,31,45,44,0,42,0,0,0,13,68,0,12,0.691114245416079,1.04815864022663,0.944350758853287,-0.0521512385919164,1.33333333333333,-1.62162162162162,0.31,0.56,0.44,0.00,0.42,0.00,0.00,0.00,0.13,0.68,0.00,0.12,49,0.49,2,1
17,18,105,15,777,506,44,27,8,0,13,0,4,17,6,0,46,0,-1.42454160789845,-0.651558073654391,0.101180438448566,-1.09517601043025,-0.374999999999999,-1.62162162162162,0.44,0.34,0.08,0.00,0.13,0.00,0.04,0.17,0.06,0.00,0.46,0.00,12,0.12,0,0
24,21,93,10,810,494,22,16,0,3,39,4,0,0,0,10,0,28,-0.437235543018336,0.198300283286119,-1.92242833052277,-1.7470664928292,-1.75,-0.540540540540545,0.22,0.20,0.00,0.03,0.39,0.04,0.00,0.00,0.00,0.10,0.00,0.28,4,0.04,0,0
33,21,114,36,740,491,35,51,35,0,33,68,46,34,0,0,29,68,0.832157968970381,0.198300283286119,1.61888701517706,1.64276401564537,1.16666666666666,-0.270270270270273,0.35,0.64,0.35,0.00,0.33,0.68,0.46,0.34,0.00,0.00,0.29,0.68,33,0.33,2,0
24,21,100,34,734,501,36,41,18,0,14,0,0,5,1,4,4,3,-0.437235543018336,0.198300283286119,-0.741989881956156,1.38200782268579,1.41666666666667,-1.17117117117117,0.36,0.51,0.18,0.00,0.14,0.00,0.00,0.05,0.01,0.04,0.04,0.03,11,0.11,0,0
37,17,102,22,784,494,60,36,3,0,11,0,6,0,0,9,20,6,1.39633286318759,-0.934844192634561,-0.404721753794267,-0.182529335071708,-0.666666666666667,-0.540540540540545,0.60,0.45,0.03,0.00,0.11,0.00,0.06,0.00,0.00,0.09,0.20,0.06,13,0.13,0,0
