Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Kicking_Accuracy,Kicking_Power,Kickoff_Distance,Kickoff_Hang_Time,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Kicking_AccuracyZ,Kicking_PowerZ,Kickoff_DistanceZ,Kickoff_Hang_TimeZ,PeakCur,PeakCurZ,Ability,Draftable
34,5,91,0,762,519,31,33,11,0,0,41,0.937081659973226,-1.42857142857143,-1.984375,NaN,0.148367952522255,-0.294117647058824,0.31,0.41,0.11,0.00,0.00,0.41,7,0.07,0,0
26,11,104,0,735,533,52,50,54,69,0,54,-0.133868808567604,0.662020905923345,0.0468749999999996,NaN,0.949554896142434,-1.3235294117647,0.52,0.63,0.54,0.69,0.00,0.54,25,0.25,1,0
26,9,105,0,771,507,61,50,32,19,1,0,-0.133868808567604,-0.0348432055749128,0.203125,NaN,-0.118694362017804,0.588235294117648,0.61,0.63,0.32,0.19,0.01,0.00,50,0.50,2,1
15,13,108,0,780,485,56,40,0,14,69,41,-1.60642570281124,1.3588850174216,0.671875,NaN,-0.385756676557863,2.20588235294118,0.56,0.50,0.00,0.14,0.69,0.41,23,0.23,1,0
39,12,112,0,764,500,48,64,51,51,69,69,1.60642570281124,1.01045296167247,1.296875,NaN,0.0890207715133538,1.10294117647059,0.48,0.80,0.51,0.51,0.69,0.69,42,0.42,2,1
28,6,108,0,752,511,42,43,14,27,54,0,0.133868808567604,-1.0801393728223,0.671875,NaN,0.445103857566767,0.294117647058824,0.42,0.54,0.14,0.27,0.54,0.00,16,0.16,1,0
32,8,104,0,749,496,50,52,36,47,32,0,0.669344042838019,-0.383275261324042,0.0468749999999996,NaN,0.534124629080118,1.39705882352941,0.50,0.65,0.36,0.47,0.32,0.00,27,0.27,1,0
18,8,96,0,740,540,42,25,9,2,0,17,-1.20481927710843,-0.383275261324042,-1.203125,NaN,0.801186943620177,-1.83823529411765,0.42,0.31,0.09,0.02,0.00,0.17,11,0.11,0,0
23,15,113,0,752,504,66,64,51,69,69,56,-0.535475234270415,2.05574912891986,1.453125,NaN,0.445103857566767,0.808823529411767,0.66,0.80,0.51,0.69,0.69,0.56,66,0.66,3,1
29,10,113,0,764,504,53,62,69,69,65,0,0.267737617135208,0.313588850174216,1.453125,NaN,0.0890207715133538,0.808823529411767,0.53,0.78,0.69,0.69,0.65,0.00,78,0.78,4,1
30,10,108,0,714,507,50,55,34,69,52,67,0.401606425702811,0.313588850174216,0.671875,NaN,1.57270029673591,0.588235294117648,0.50,0.69,0.34,0.69,0.52,0.67,21,0.21,1,0
23,9,105,0,763,520,72,49,13,36,6,0,-0.535475234270415,-0.0348432055749128,0.203125,NaN,0.118694362017804,-0.367647058823528,0.72,0.61,0.13,0.36,0.06,0.00,30,0.30,1,0
25,10,108,0,753,511,29,45,44,0,0,32,-0.267737617135208,0.313588850174216,0.671875,NaN,0.415430267062314,0.294117647058824,0.29,0.56,0.44,0.00,0.00,0.32,21,0.21,1,0
34,12,107,0,780,505,57,54,13,29,18,18,0.937081659973226,1.01045296167247,0.515625,NaN,-0.385756676557863,0.735294117647063,0.57,0.68,0.13,0.29,0.18,0.18,18,0.18,1,0
14,9,97,0,735,540,60,28,28,26,0,60,-1.74029451137885,-0.0348432055749128,-1.046875,NaN,0.949554896142434,-1.83823529411765,0.60,0.35,0.28,0.26,0.00,0.60,12,0.12,0,0
20,20,119,0,762,504,79,62,0,69,29,66,-0.937081659973226,3.79790940766551,2.390625,NaN,0.148367952522255,0.808823529411767,0.79,0.78,0.00,0.69,0.29,0.66,35,0.35,2,0
34,6,97,0,771,533,35,40,56,1,0,4,0.937081659973226,-1.0801393728223,-1.046875,NaN,-0.118694362017804,-1.3235294117647,0.35,0.50,0.56,0.01,0.00,0.04,17,0.17,1,0
