Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Pass_Rush_Technique,Pass_Rush_Strength,Man_to_Man_Defense,Zone_Defense,Bump_and_Run_Defense,Play_Diagnosis,Punishing_Hitter,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Pass_Rush_TechniqueZ,Pass_Rush_StrengthZ,Man_to_Man_DefenseZ,Zone_DefenseZ,Bump_and_Run_DefenseZ,Play_DiagnosisZ,Punishing_HitterZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
16,19,100,25,770,480,43,26,0,28,42,0,24,0,0,26,0,0,-1.27629733520337,0.630372492836676,-1.46757679180887,0.181347150259067,-1.20603015075377,-0.420168067226889,0.43,0.33,0.00,0.28,0.42,0.00,0.24,0.00,0.00,0.26,0.00,0.00,8,0.08,0,0
24,18,99,26,766,495,35,26,2,1,30,0,35,0,18,9,9,0,-0.154277699859748,0.343839541547278,-1.6382252559727,0.310880829015544,-1.00502512562814,-1.68067226890756,0.35,0.33,0.02,0.01,0.30,0.00,0.35,0.00,0.18,0.09,0.09,0.00,9,0.09,0,0
38,19,119,35,742,459,53,56,21,67,27,45,35,39,68,2,61,68,1.80925666199158,0.630372492836676,1.77474402730376,1.47668393782383,0.201005025125628,1.34453781512605,0.53,0.70,0.21,0.67,0.27,0.45,0.35,0.39,0.68,0.02,0.61,0.68,42,0.42,2,1
19,14,107,34,740,471,54,45,28,29,0,16,55,9,57,15,25,8,-0.855539971949509,-0.802292263610315,-0.273037542662115,1.34715025906736,0.30150753768844,0.336134453781513,0.54,0.56,0.28,0.29,0.00,0.16,0.55,0.09,0.57,0.15,0.25,0.08,17,0.17,1,0
33,21,115,25,723,453,61,56,5,48,28,19,0,11,0,49,0,2,1.10799438990182,1.20343839541547,1.09215017064847,0.181347150259067,1.15577889447236,1.84873949579832,0.61,0.70,0.05,0.48,0.28,0.19,0.00,0.11,0.00,0.49,0.00,0.02,25,0.25,1,0
15,18,109,27,756,471,25,29,0,4,23,3,37,0,0,4,2,24,-1.41654978962132,0.343839541547278,0.06825938566553,0.440414507772021,-0.502512562814069,0.336134453781513,0.25,0.36,0.00,0.04,0.23,0.03,0.37,0.00,0.00,0.04,0.02,0.24,9,0.09,0,0
28,18,106,15,714,463,26,45,56,23,21,14,0,2,30,20,2,0,0.406732117812062,0.343839541547278,-0.443686006825938,-1.1139896373057,1.60804020100503,1.00840336134454,0.26,0.56,0.56,0.23,0.21,0.14,0.00,0.02,0.30,0.20,0.02,0.00,15,0.15,0,0
32,17,114,28,740,495,36,39,28,0,21,16,48,42,30,23,0,0,0.967741935483871,0.0573065902578795,0.921501706484643,0.569948186528497,0.30150753768844,-1.68067226890756,0.36,0.49,0.28,0.00,0.21,0.16,0.48,0.42,0.30,0.23,0.00,0.00,38,0.38,2,0
22,18,110,19,740,495,55,36,4,0,7,0,0,0,4,31,0,3,-0.434782608695652,0.343839541547278,0.238907849829352,-0.595854922279793,0.30150753768844,-1.68067226890756,0.55,0.45,0.04,0.00,0.07,0.00,0.00,0.00,0.04,0.31,0.00,0.03,14,0.14,0,0
34,13,98,20,761,483,41,29,2,2,0,0,17,0,56,13,0,0,1.24824684431978,-1.08882521489971,-1.80887372013652,-0.466321243523316,-0.753768844221107,-0.672268907563026,0.41,0.36,0.02,0.02,0.00,0.00,0.17,0.00,0.56,0.13,0.00,0.00,8,0.08,0,0
