Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Punting_Power,Hang_Time,Directional_Punting,Kick_Holding,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Punting_PowerZ,Hang_TimeZ,Directional_PuntingZ,Kick_HoldingZ,PeakCur,PeakCurZ,Ability,Draftable
24,9,96,0,746,477,45,58,69,29,32,69,-0.21505376344086,-0.303867403314917,-1.53409090909091,NaN,0.680473372781066,1.78770949720671,0.45,0.73,0.69,0.29,0.32,0.69,76,0.76,4,1
29,15,106,0,756,524,61,45,6,52,0,69,0.456989247311828,1.35359116022099,-0.113636363636363,NaN,0.384615384615387,-0.837988826815644,0.61,0.56,0.06,0.52,0.00,0.69,28,0.28,1,0
30,5,98,0,765,460,50,56,69,0,34,6,0.591397849462365,-1.40883977900552,-1.25,NaN,0.118343195266272,2.73743016759777,0.50,0.70,0.69,0.00,0.34,0.06,48,0.48,2,1
26,7,109,0,761,487,78,58,46,10,27,69,0.0537634408602149,-0.856353591160221,0.3125,NaN,0.236686390532545,1.22905027932961,0.78,0.73,0.46,0.10,0.27,0.69,35,0.35,2,0
26,15,103,0,762,535,43,34,0,53,6,0,0.0537634408602149,1.35359116022099,-0.539772727272727,NaN,0.207100591715977,-1.45251396648045,0.43,0.43,0.00,0.53,0.06,0.00,13,0.13,0,0
22,11,101,0,780,495,44,54,67,17,62,35,-0.483870967741936,0.248618784530387,-0.823863636363636,NaN,-0.325443786982247,0.782122905027931,0.44,0.68,0.67,0.17,0.62,0.35,47,0.47,2,1
21,9,93,0,754,540,33,22,0,39,15,69,-0.618279569892473,-0.303867403314917,-1.96022727272727,NaN,0.443786982248522,-1.731843575419,0.33,0.28,0.00,0.39,0.15,0.69,7,0.07,0,0
31,15,97,0,730,512,29,43,17,42,0,15,0.725806451612903,1.35359116022099,-1.39204545454545,NaN,1.15384615384616,-0.16759776536313,0.29,0.54,0.17,0.42,0.00,0.15,23,0.23,1,0
17,10,111,0,780,534,42,30,0,17,62,50,-1.15591397849462,-0.0276243093922651,0.59659090909091,NaN,-0.325443786982247,-1.39664804469274,0.42,0.38,0.00,0.17,0.62,0.50,7,0.07,0,0
21,15,111,0,734,501,58,56,18,66,27,0,-0.618279569892473,1.35359116022099,0.59659090909091,NaN,1.03550295857988,0.446927374301676,0.58,0.70,0.18,0.66,0.27,0.00,54,0.54,3,1
