Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Screen_Passes,Short_Passes,Medium_Passes,Long_Passes,Deep_Passes,Third_Down_Passes,Accuracy,Timing,Sense_Rush,Read_Defense,Two_Minute_Offense,Run_Frequency,Kick_Holding,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Screen_PassesZ,Short_PassesZ,Medium_PassesZ,Long_PassesZ,Deep_PassesZ,Third_Down_PassesZ,AccuracyZ,TimingZ,Sense_RushZ,Read_DefenseZ,Two_Minute_OffenseZ,Run_FrequencyZ,Kick_HoldingZ,PeakCur,PeakCurZ,Ability,Draftable
17,7,105,70,797,473,38,28,16,19,29,0,26,27,0,59,7,0,21,77,77,-1.52565880721221,-1.14155251141553,0.399334442595675,-0.12565445026178,-0.395256916996046,0.397350993377481,0.38,0.35,0.16,0.19,0.29,0.00,0.26,0.27,0.00,0.59,0.07,0.00,0.21,0.77,0.77,7,0.07,0,0
30,11,98,68,816,469,43,35,0,0,8,26,48,20,0,43,25,21,20,77,23,0.277392510402219,0.684931506849315,-0.765391014975041,-0.335078534031414,-1.14624505928854,0.662251655629137,0.43,0.44,0.00,0.00,0.08,0.26,0.48,0.20,0.00,0.43,0.25,0.21,0.20,0.77,0.23,9,0.09,0,0
37,8,103,90,800,451,22,38,20,0,17,24,0,12,28,63,0,27,32,77,66,1.24826629680999,-0.684931506849315,0.0665557404326133,1.96858638743455,-0.513833992094861,1.85430463576159,0.22,0.48,0.20,0.00,0.17,0.24,0.00,0.12,0.28,0.63,0.00,0.27,0.32,0.77,0.66,6,0.06,0,0
27,9,108,71,764,484,5,36,36,52,50,30,4,12,0,60,27,10,28,25,8,-0.13869625520111,-0.228310502283105,0.898502495840267,-0.0209424083769636,0.909090909090911,-0.331125827814568,0.05,0.45,0.36,0.52,0.50,0.30,0.04,0.12,0.00,0.60,0.27,0.10,0.28,0.25,0.08,4,0.04,0,0
18,8,105,81,797,492,7,32,23,44,34,15,18,14,49,66,19,21,8,1,7,-1.3869625520111,-0.684931506849315,0.399334442595675,1.0261780104712,-0.395256916996046,-0.86092715231788,0.07,0.40,0.23,0.44,0.34,0.15,0.18,0.14,0.49,0.66,0.19,0.21,0.08,0.01,0.07,3,0.03,0,0
20,10,105,62,783,484,26,31,23,0,16,8,55,23,0,6,19,0,9,0,62,-1.10957004160888,0.228310502283105,0.399334442595675,-0.963350785340314,0.158102766798419,-0.331125827814568,0.26,0.39,0.23,0.00,0.16,0.08,0.55,0.23,0.00,0.06,0.19,0.00,0.09,0.00,0.62,8,0.08,0,0
22,9,104,59,777,468,31,32,0,31,19,11,17,21,22,6,56,14,0,77,74,-0.832177531206657,-0.228310502283105,0.232945091514144,-1.27748691099476,0.39525691699605,0.728476821192055,0.31,0.40,0.00,0.31,0.19,0.11,0.17,0.21,0.22,0.06,0.56,0.14,0.00,0.77,0.74,10,0.10,0,0
28,7,109,66,757,468,30,40,46,49,25,15,0,8,0,26,35,16,0,42,73,0,-1.14155251141553,1.0648918469218,-0.544502617801047,1.18577075098814,0.728476821192055,0.30,0.50,0.46,0.49,0.25,0.15,0.00,0.08,0.00,0.26,0.35,0.16,0.00,0.42,0.73,12,0.12,0,0
34,12,93,71,780,471,1,44,0,20,3,37,55,66,44,63,37,13,21,53,77,0.832177531206657,1.14155251141553,-1.59733777038269,-0.0209424083769636,0.276679841897234,0.529801324503312,0.01,0.55,0.00,0.20,0.03,0.37,0.55,0.66,0.44,0.63,0.37,0.13,0.21,0.53,0.77,13,0.13,0,0
28,7,104,70,791,498,21,34,16,7,23,18,0,27,22,40,30,48,15,39,77,0,-1.14155251141553,0.232945091514144,-0.12565445026178,-0.158102766798419,-1.25827814569537,0.21,0.43,0.16,0.07,0.23,0.18,0.00,0.27,0.22,0.40,0.30,0.48,0.15,0.39,0.77,7,0.07,0,0
