Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Breakaway_Speed,Power_Inside,Third_Down_Runs,Hole_Recognition,Elusiveness,Speed_Outside,Blitz_Pickup,Avoid_Drops,Get_Downfield,Route_Running,Third_Down_Receiving,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Breakaway_SpeedZ,Power_InsideZ,Third_Down_RunsZ,Hole_RecognitionZ,ElusivenessZ,Speed_OutsideZ,Blitz_PickupZ,Avoid_DropsZ,Get_DownfieldZ,Route_RunningZ,Third_Down_ReceivingZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
18,9,116,8,735,476,46,33,22,2,32,13,1,0,0,23,10,21,3,14,0,5,11,-0.418604651162791,-1.48255813953488,0.136186770428016,-1.49206349206349,0,-0.967741935483869,0.46,0.41,0.22,0.02,0.32,0.13,0.01,0.00,0.00,0.23,0.10,0.21,0.03,0.14,0.00,0.05,0.11,16,0.16,1,0
17,16,113,20,735,464,37,39,31,35,0,28,69,39,39,45,11,14,8,17,37,23,4,-0.573643410852713,0.552325581395349,-0.447470817120622,0.412698412698413,0,0.322580645161293,0.37,0.49,0.31,0.35,0.00,0.28,0.69,0.39,0.39,0.45,0.11,0.14,0.08,0.17,0.37,0.23,0.04,41,0.41,2,1
21,18,118,22,715,481,42,48,0,41,56,64,54,5,33,23,39,45,41,0,0,44,18,0.0465116279069769,1.13372093023256,0.525291828793775,0.73015873015873,1.32450331125827,-1.50537634408602,0.42,0.60,0.00,0.41,0.56,0.64,0.54,0.05,0.33,0.23,0.39,0.45,0.41,0.00,0.00,0.44,0.18,30,0.30,1,0
19,19,119,16,746,450,62,50,58,48,43,0,56,22,38,0,30,51,24,0,0,43,27,-0.263565891472868,1.42441860465116,0.719844357976654,-0.222222222222222,-0.728476821192055,1.82795698924731,0.62,0.63,0.58,0.48,0.43,0.00,0.56,0.22,0.38,0.00,0.30,0.51,0.24,0.00,0.00,0.43,0.27,21,0.21,1,0
12,13,119,17,759,477,34,29,0,18,15,16,0,34,8,18,3,28,9,0,0,40,24,-1.34883720930233,-0.319767441860465,0.719844357976654,-0.0634920634920633,-1.58940397350994,-1.0752688172043,0.34,0.36,0.00,0.18,0.15,0.16,0.00,0.34,0.08,0.18,0.03,0.28,0.09,0.00,0.00,0.40,0.24,20,0.20,1,0
26,19,114,22,727,454,35,51,37,47,0,48,71,41,50,48,47,46,45,0,0,56,2,0.821705426356589,1.42441860465116,-0.252918287937743,0.73015873015873,0.529801324503312,1.39784946236559,0.35,0.64,0.37,0.47,0.00,0.48,0.71,0.41,0.50,0.48,0.47,0.46,0.45,0.00,0.00,0.56,0.02,35,0.35,2,0
27,9,118,18,735,468,25,36,10,0,11,23,56,29,28,0,0,7,0,0,0,41,14,0.976744186046512,-1.48255813953488,0.525291828793775,0.0952380952380955,0,-0.107526881720428,0.25,0.45,0.10,0.00,0.11,0.23,0.56,0.29,0.28,0.00,0.00,0.07,0.00,0.00,0.00,0.41,0.14,29,0.29,1,0
27,25,123,31,727,455,42,61,40,77,70,77,0,65,36,45,53,77,73,0,0,54,53,0.976744186046512,3.16860465116279,1.49805447470817,2.15873015873016,0.529801324503312,1.29032258064516,0.42,0.76,0.40,0.77,0.70,0.77,0.00,0.65,0.36,0.45,0.53,0.77,0.73,0.00,0.00,0.54,0.53,60,0.60,3,1
26,11,111,21,726,471,53,45,8,0,70,20,58,7,20,49,22,64,36,0,0,0,21,0.821705426356589,-0.901162790697674,-0.836575875486381,0.571428571428572,0.596026490066224,-0.430107526881721,0.53,0.56,0.08,0.00,0.70,0.20,0.58,0.07,0.20,0.49,0.22,0.64,0.36,0.00,0.00,0.00,0.21,17,0.17,1,0
8,12,106,15,751,465,45,23,6,16,0,0,18,53,16,0,25,11,20,0,0,29,3,-1.96899224806202,-0.61046511627907,-1.80933852140078,-0.380952380952381,-1.05960264900662,0.215053763440856,0.45,0.29,0.06,0.16,0.00,0.00,0.18,0.53,0.16,0.00,0.25,0.11,0.20,0.00,0.00,0.29,0.03,13,0.13,0,0
