Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Man_to_Man_Defense,Zone_Defense,Bump_and_Run_Defense,Play_Diagnosis,Punishing_Hitter,Intercepting,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Man_to_Man_DefenseZ,Zone_DefenseZ,Bump_and_Run_DefenseZ,Play_DiagnosisZ,Punishing_HitterZ,InterceptingZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
23,10,100,36,722,456,7,34,24,8,57,0,39,0,0,0,0,58,0,-0.764163372859025,-1.41414141414141,0.208816705336428,0.106269925611052,0.892857142857144,0.659340659340665,0.07,0.43,0.24,0.08,0.57,0.00,0.39,0.00,0.00,0.00,0.00,0.58,0.00,4,0.04,0,0
26,9,98,28,735,476,47,31,23,0,11,0,0,29,4,0,0,29,0,-0.368906455862978,-1.75084175084175,-0.255220417633409,-0.743889479277364,0.312500000000001,-1.53846153846153,0.47,0.39,0.23,0.00,0.11,0.00,0.00,0.29,0.04,0.00,0.00,0.29,0.00,13,0.13,0,0
19,13,98,25,729,464,28,34,54,23,0,0,41,48,55,0,0,5,0,-1.29117259552042,-0.404040404040404,-0.255220417633409,-1.06269925611052,0.580357142857142,-0.219780219780215,0.28,0.43,0.54,0.23,0.00,0.00,0.41,0.48,0.55,0.00,0.00,0.05,0.00,9,0.09,0,0
26,14,103,33,701,452,36,50,54,63,49,0,55,41,0,59,0,24,67,-0.368906455862978,-0.0673400673400671,0.904872389791185,-0.212539851222104,1.83035714285714,1.0989010989011,0.36,0.63,0.54,0.63,0.49,0.00,0.55,0.41,0.00,0.59,0.00,0.24,0.67,38,0.38,2,0
33,10,101,39,726,468,57,43,56,0,28,0,58,17,0,0,0,51,29,0.553359683794466,-1.41414141414141,0.440835266821347,0.425079702444208,0.714285714285715,-0.659340659340655,0.57,0.54,0.56,0.00,0.28,0.00,0.58,0.17,0.00,0.00,0.00,0.51,0.29,19,0.19,1,0
17,9,111,27,724,459,39,35,38,17,0,0,13,14,3,9,0,25,0,-1.55467720685112,-1.75084175084175,2.76102088167054,-0.850159404888417,0.803571428571427,0.329670329670332,0.39,0.44,0.38,0.17,0.00,0.00,0.13,0.14,0.03,0.09,0.00,0.25,0.00,12,0.12,0,0
20,12,98,30,718,455,38,40,37,57,23,29,9,4,0,0,0,29,0,-1.15942028985507,-0.74074074074074,-0.255220417633409,-0.53134962805526,1.07142857142857,0.769230769230772,0.38,0.50,0.37,0.57,0.23,0.29,0.09,0.04,0.00,0.00,0.00,0.29,0.00,16,0.16,1,0
33,15,106,38,731,459,26,40,31,18,18,38,14,30,0,41,0,0,47,0.553359683794466,0.26936026936027,1.60092807424594,0.318809776833156,0.49107142857143,0.329670329670332,0.26,0.50,0.31,0.18,0.18,0.38,0.14,0.30,0.00,0.41,0.00,0.00,0.47,12,0.12,0,0
23,11,101,26,708,476,55,41,64,0,0,0,34,12,14,0,0,21,37,-0.764163372859025,-1.07744107744108,0.440835266821347,-0.956429330499469,1.51785714285714,-1.53846153846153,0.55,0.51,0.64,0.00,0.00,0.00,0.34,0.12,0.14,0.00,0.00,0.21,0.37,17,0.17,1,0
23,14,98,14,762,465,37,29,31,11,0,28,34,5,0,0,0,9,42,-0.764163372859025,-0.0673400673400671,-0.255220417633409,-2.23166843783209,-0.892857142857144,-0.329670329670332,0.37,0.36,0.31,0.11,0.00,0.28,0.34,0.05,0.00,0.00,0.00,0.09,0.42,11,0.11,0,0
19,15,100,14,747,481,41,26,1,0,0,31,38,0,0,0,0,8,0,-1.29117259552042,0.26936026936027,0.208816705336428,-2.23166843783209,-0.223214285714285,-2.08791208791208,0.41,0.33,0.01,0.00,0.00,0.31,0.38,0.00,0.00,0.00,0.00,0.08,0.00,10,0.10,0,0
37,16,106,35,726,453,59,52,44,23,42,26,22,30,0,12,0,0,0,1.08036890645586,0.606060606060606,1.60092807424594,0,0.714285714285715,0.989010989010988,0.59,0.65,0.44,0.23,0.42,0.26,0.22,0.30,0.00,0.12,0.00,0.00,0.00,36,0.36,2,0
33,18,96,43,695,453,29,57,68,54,31,51,68,54,15,0,0,68,58,0.553359683794466,1.27946127946128,-0.719257540603247,0.850159404888417,2.09821428571428,0.989010989010988,0.29,0.71,0.68,0.54,0.31,0.51,0.68,0.54,0.15,0.00,0.00,0.68,0.58,65,0.65,3,1
34,16,97,43,753,462,43,44,44,22,8,55,41,0,60,0,0,13,68,0.685111989459815,0.606060606060606,-0.487238979118328,0.850159404888417,-0.49107142857143,0,0.43,0.55,0.44,0.22,0.08,0.55,0.41,0.00,0.60,0.00,0.00,0.13,0.68,23,0.23,1,0
26,15,94,46,731,455,30,47,50,57,68,14,50,63,53,0,0,44,43,-0.368906455862978,0.26936026936027,-1.18329466357308,1.16896918172157,0.49107142857143,0.769230769230772,0.30,0.59,0.50,0.57,0.68,0.14,0.50,0.63,0.53,0.00,0.00,0.44,0.43,52,0.52,3,1
15,12,96,27,729,465,47,31,8,0,0,0,3,34,9,0,0,36,19,-1.81818181818182,-0.74074074074074,-0.719257540603247,-0.850159404888417,0.580357142857142,-0.329670329670332,0.47,0.39,0.08,0.00,0.00,0.00,0.03,0.34,0.09,0.00,0.00,0.36,0.19,12,0.12,0,0
26,12,95,33,719,467,44,41,49,12,0,34,10,0,50,0,0,5,19,-0.368906455862978,-0.74074074074074,-0.951276102088166,-0.212539851222104,1.02678571428571,-0.549450549450548,0.44,0.51,0.49,0.12,0.00,0.34,0.10,0.00,0.50,0.00,0.00,0.05,0.19,15,0.15,0,0
31,15,98,29,780,475,47,30,0,0,25,31,26,13,0,0,0,5,34,0.289855072463768,0.26936026936027,-0.255220417633409,-0.637619553666312,-1.69642857142857,-1.42857142857143,0.47,0.38,0.00,0.00,0.25,0.31,0.26,0.13,0.00,0.00,0.00,0.05,0.34,10,0.10,0,0
46,14,99,47,769,457,21,34,0,25,40,6,21,8,44,0,0,27,0,2.26613965744401,-0.0673400673400671,-0.0232018561484906,1.27523910733262,-1.20535714285714,0.549450549450548,0.21,0.43,0.00,0.25,0.40,0.06,0.21,0.08,0.44,0.00,0.00,0.27,0.00,9,0.09,0,0
32,16,100,14,718,459,45,42,51,20,0,0,24,30,0,0,0,1,0,0.421607378129117,0.606060606060606,0.208816705336428,-2.23166843783209,1.07142857142857,0.329670329670332,0.45,0.53,0.51,0.20,0.00,0.00,0.24,0.30,0.00,0.00,0.00,0.01,0.00,15,0.15,0,0
26,12,98,30,730,459,21,33,16,0,22,12,15,35,0,0,0,6,18,-0.368906455862978,-0.74074074074074,-0.255220417633409,-0.53134962805526,0.535714285714286,0.329670329670332,0.21,0.41,0.16,0.00,0.22,0.12,0.15,0.35,0.00,0.00,0.00,0.06,0.18,9,0.09,0,0
30,12,97,40,735,455,58,44,17,40,56,9,14,20,0,0,0,0,54,0.158102766798419,-0.74074074074074,-0.487238979118328,0.53134962805526,0.312500000000001,0.769230769230772,0.58,0.55,0.17,0.40,0.56,0.09,0.14,0.20,0.00,0.00,0.00,0.00,0.54,24,0.24,1,0
24,19,100,36,748,467,34,36,8,0,9,62,0,0,0,0,0,11,0,-0.632411067193676,1.61616161616162,0.208816705336428,0.106269925611052,-0.267857142857145,-0.549450549450548,0.34,0.45,0.08,0.00,0.09,0.62,0.00,0.00,0.00,0.00,0.00,0.11,0.00,12,0.12,0,0
32,14,99,41,712,452,35,50,55,59,36,0,0,53,31,0,0,68,48,0.421607378129117,-0.0673400673400671,-0.0232018561484906,0.637619553666312,1.33928571428571,1.0989010989011,0.35,0.63,0.55,0.59,0.36,0.00,0.00,0.53,0.31,0.00,0.00,0.68,0.48,39,0.39,2,0
21,13,99,40,753,473,54,36,15,0,12,33,56,0,28,0,0,7,30,-1.02766798418972,-0.404040404040404,-0.0232018561484906,0.53134962805526,-0.49107142857143,-1.20879120879121,0.54,0.45,0.15,0.00,0.12,0.33,0.56,0.00,0.28,0.00,0.00,0.07,0.30,17,0.17,1,0
