Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Endurance,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,EnduranceZ,PeakCur,PeakCurZ,Ability,Draftable
27,28,83,0,784,525,30,37,11,14,25,0,-0.0292968750000001,0.236686390532544,-1.3963963963964,NaN,0.261194029850747,0.421686746987954,0.30,0.46,0.11,0.14,0.25,0.00,12,0.12,0,0
28,26,84,0,787,521,14,34,43,31,9,0,0.0683593749999999,-0.157790927021696,-1.24624624624625,NaN,0.149253731343284,0.66265060240964,0.14,0.43,0.43,0.31,0.09,0.00,6,0.06,0,0
33,26,91,0,777,526,25,41,33,36,22,16,0.556640625,-0.157790927021696,-0.195195195195195,NaN,0.522388059701495,0.361445783132533,0.25,0.51,0.33,0.36,0.22,0.16,13,0.13,0,0
27,19,83,0,779,552,16,20,6,13,0,1,-0.0292968750000001,-1.53846153846154,-1.3963963963964,NaN,0.447761194029851,-1.20481927710843,0.16,0.25,0.06,0.13,0.00,0.01,4,0.04,0,0
24,32,92,0,770,559,16,32,0,51,45,18,-0.322265625,1.02564102564103,-0.0450450450450446,NaN,0.783582089552239,-1.62650602409638,0.16,0.40,0.00,0.51,0.45,0.18,14,0.14,0,0
14,34,91,0,813,527,38,42,38,20,47,25,-1.298828125,1.42011834319527,-0.195195195195195,NaN,-0.820895522388062,0.301204819277113,0.38,0.53,0.38,0.20,0.47,0.25,18,0.18,1,0
17,26,99,0,768,543,35,42,21,48,22,58,-1.005859375,-0.157790927021696,1.00600600600601,NaN,0.858208955223882,-0.662650602409635,0.35,0.53,0.21,0.48,0.22,0.58,25,0.25,1,0
35,19,98,0,780,527,29,37,22,41,0,44,0.751953125,-1.53846153846154,0.855855855855856,NaN,0.410447761194031,0.301204819277113,0.29,0.46,0.22,0.41,0.00,0.44,11,0.11,0,0
47,21,86,0,783,514,47,42,42,22,0,0,1.923828125,-1.1439842209073,-0.945945945945946,NaN,0.298507462686567,1.08433734939759,0.47,0.53,0.42,0.22,0.00,0.00,9,0.09,0,0
39,21,90,0,791,547,33,25,2,10,0,28,1.142578125,-1.1439842209073,-0.345345345345345,NaN,0,-0.903614457831322,0.33,0.31,0.02,0.10,0.00,0.28,7,0.07,0,0
37,29,85,0,757,560,11,31,0,59,19,21,0.947265625,0.433925049309665,-1.0960960960961,NaN,1.26865671641791,-1.6867469879518,0.11,0.39,0.00,0.59,0.19,0.21,8,0.08,0,0
23,28,97,0,778,533,6,34,27,28,18,41,-0.419921875,0.236686390532544,0.705705705705706,NaN,0.485074626865671,-0.0602409638554204,0.06,0.43,0.27,0.28,0.18,0.41,10,0.10,0,0
24,25,88,0,806,541,35,26,7,5,9,15,-0.322265625,-0.355029585798817,-0.645645645645645,NaN,-0.559701492537315,-0.542168674698794,0.35,0.33,0.07,0.05,0.09,0.15,10,0.10,0,0
40,19,98,0,766,530,41,43,31,47,0,48,1.240234375,-1.53846153846154,0.855855855855856,NaN,0.932835820895522,0.120481927710846,0.41,0.54,0.31,0.47,0.00,0.48,25,0.25,1,0
