Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Blocking,Pass_Blocking,Blocking_Strength,Avoid_Drops,Get_Downfield,Route_Running,Third_Down_Receiving,Big_Play_Receiving,Courage,Adjust_to_Ball,Endurance,Special_Teams,Long_Snapping,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_BlockingZ,Pass_BlockingZ,Blocking_StrengthZ,Avoid_DropsZ,Get_DownfieldZ,Route_RunningZ,Third_Down_ReceivingZ,Big_Play_ReceivingZ,CourageZ,Adjust_to_BallZ,EnduranceZ,Special_TeamsZ,Long_SnappingZ,PeakCur,PeakCurZ,Ability,Draftable
25,20,107,41,817,483,58,44,41,17,0,58,13,13,0,2,18,41,9,40,0,0.249632892804699,-0.118483412322275,0.597907324364723,1.23339658444023,-0.614525139664804,0.103092783505152,0.58,0.55,0.41,0.17,0.00,0.58,0.13,0.13,0.00,0.02,0.18,0.41,0.09,0.40,0.00,12,0.12,0,0
12,15,91,10,850,500,44,25,0,0,0,0,0,0,0,0,0,0,0,0,77,-1.65932452276065,-1.30331753554502,-1.79372197309417,-1.70777988614801,-1.53631284916201,-1.64948453608248,0.44,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,21,0.21,1,0
11,22,95,35,775,498,55,32,13,34,34,57,36,26,19,0,28,17,0,17,0,-1.80616740088106,0.355450236966825,-1.19581464872945,0.664136622390892,0.558659217877095,-1.44329896907217,0.55,0.40,0.13,0.34,0.34,0.57,0.36,0.26,0.19,0.00,0.28,0.17,0.00,0.17,0.00,16,0.16,1,0
26,23,110,13,810,474,51,42,15,17,31,0,9,11,46,28,6,0,39,54,0,0.39647577092511,0.592417061611374,1.04633781763827,-1.42314990512334,-0.41899441340782,1.03092783505154,0.51,0.53,0.15,0.17,0.31,0.00,0.09,0.11,0.46,0.28,0.06,0.00,0.39,0.54,0.00,30,0.30,1,0
18,23,113,21,750,481,51,46,45,26,28,0,54,16,51,0,10,19,3,0,0,-0.778267254038179,0.592417061611374,1.49476831091181,-0.664136622390892,1.25698324022346,0.309278350515466,0.51,0.58,0.45,0.26,0.28,0.00,0.54,0.16,0.51,0.00,0.10,0.19,0.03,0.00,0.00,32,0.32,2,0
24,25,114,45,739,469,58,63,58,48,45,60,72,62,74,53,55,72,36,49,0,0.102790014684288,1.06635071090047,1.64424514200299,1.61290322580645,1.56424581005587,1.54639175257731,0.58,0.79,0.58,0.48,0.45,0.60,0.72,0.62,0.74,0.53,0.55,0.72,0.36,0.49,0.00,56,0.56,3,1
32,29,118,41,757,466,26,53,33,19,56,14,30,36,44,34,26,22,11,36,0,1.27753303964758,2.01421800947867,2.24215246636771,1.23339658444023,1.06145251396648,1.85567010309278,0.26,0.66,0.33,0.19,0.56,0.14,0.30,0.36,0.44,0.34,0.26,0.22,0.11,0.36,0.00,57,0.57,3,1
23,15,108,33,775,478,39,41,16,40,4,0,35,31,68,41,31,53,28,43,0,-0.0440528634361235,-1.30331753554502,0.747384155455904,0.47438330170778,0.558659217877095,0.618556701030924,0.39,0.51,0.16,0.40,0.04,0.00,0.35,0.31,0.68,0.41,0.31,0.53,0.28,0.43,0.00,37,0.37,2,0
17,15,102,26,810,482,31,25,0,9,0,7,0,25,30,20,0,17,4,28,0,-0.925110132158591,-1.30331753554502,-0.149476831091181,-0.189753320683112,-0.41899441340782,0.206185567010305,0.31,0.31,0.00,0.09,0.00,0.07,0.00,0.25,0.30,0.20,0.00,0.17,0.04,0.28,0.00,10,0.10,0,0
23,15,102,23,799,482,46,34,36,15,0,37,22,27,18,14,63,23,32,60,0,-0.0440528634361235,-1.30331753554502,-0.149476831091181,-0.47438330170778,-0.111731843575419,0.206185567010305,0.46,0.43,0.36,0.15,0.00,0.37,0.22,0.27,0.18,0.14,0.63,0.23,0.32,0.60,0.00,12,0.12,0,0
10,20,107,30,759,478,42,34,30,6,13,21,45,0,32,30,17,19,11,26,0,-1.95301027900147,-0.118483412322275,0.597907324364723,0.189753320683112,1.00558659217877,0.618556701030924,0.42,0.43,0.30,0.06,0.13,0.21,0.45,0.00,0.32,0.30,0.17,0.19,0.11,0.26,0.00,18,0.18,1,0
21,22,104,34,835,484,32,34,23,33,21,2,0,0,12,19,4,50,65,11,0,-0.337738619676946,0.355450236966825,0.149476831091181,0.569259962049336,-1.11731843575419,0,0.32,0.43,0.23,0.33,0.21,0.02,0.00,0.00,0.12,0.19,0.04,0.50,0.65,0.11,0.00,14,0.14,0,0
21,15,95,10,836,500,31,16,9,0,0,0,3,10,0,0,2,11,25,0,0,-0.337738619676946,-1.30331753554502,-1.19581464872945,-1.70777988614801,-1.14525139664804,-1.64948453608248,0.31,0.20,0.09,0.00,0.00,0.00,0.03,0.10,0.00,0.00,0.02,0.11,0.25,0.00,0.00,5,0.05,0,0
23,16,96,16,818,497,46,24,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440528634361235,-1.06635071090047,-1.04633781763827,-1.13851992409867,-0.642458100558658,-1.34020618556701,0.46,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0
25,17,106,37,775,476,52,41,4,0,0,31,15,19,28,32,4,30,24,52,0,0.249632892804699,-0.829383886255924,0.448430493273543,0.853889943074004,0.558659217877095,0.824742268041238,0.52,0.51,0.04,0.00,0.00,0.31,0.15,0.19,0.28,0.32,0.04,0.30,0.24,0.52,0.00,19,0.19,1,0
20,18,102,32,781,479,33,38,37,53,0,10,14,39,13,25,59,32,52,56,0,-0.484581497797357,-0.592417061611374,-0.149476831091181,0.379506641366224,0.391061452513968,0.515463917525771,0.33,0.48,0.37,0.53,0.00,0.10,0.14,0.39,0.13,0.25,0.59,0.32,0.52,0.56,0.00,17,0.17,1,0
23,23,94,38,846,484,54,33,2,0,19,41,0,0,0,23,40,31,34,0,0,-0.0440528634361235,0.592417061611374,-1.34529147982063,0.94876660341556,-1.42458100558659,0,0.54,0.41,0.02,0.00,0.19,0.41,0.00,0.00,0.00,0.23,0.40,0.31,0.34,0.00,0.00,13,0.13,0,0
29,19,97,37,846,488,21,27,29,0,7,28,0,62,0,18,36,32,14,15,0,0.837004405286344,-0.355450236966825,-0.896860986547085,0.853889943074004,-1.42458100558659,-0.412371134020619,0.21,0.34,0.29,0.00,0.07,0.28,0.00,0.62,0.00,0.18,0.36,0.32,0.14,0.15,0.00,8,0.08,0,0
30,15,108,28,820,497,32,34,47,0,0,37,0,64,46,0,0,9,56,56,0,0.983847283406755,-1.30331753554502,0.747384155455904,0,-0.698324022346366,-1.34020618556701,0.32,0.43,0.47,0.00,0.00,0.37,0.00,0.64,0.46,0.00,0.00,0.09,0.56,0.56,0.00,14,0.14,0,0
40,22,117,38,775,478,22,46,46,4,18,18,11,22,0,14,10,23,43,27,0,2.45227606461087,0.355450236966825,2.09267563527653,0.94876660341556,0.558659217877095,0.618556701030924,0.22,0.58,0.46,0.04,0.18,0.18,0.11,0.22,0.00,0.14,0.10,0.23,0.43,0.27,0.00,34,0.34,2,0
19,21,107,20,788,495,35,33,57,35,13,0,8,12,17,0,27,16,5,34,0,-0.631424375917768,0.118483412322275,0.597907324364723,-0.759013282732448,0.195530726256984,-1.1340206185567,0.35,0.41,0.57,0.35,0.13,0.00,0.08,0.12,0.17,0.00,0.27,0.16,0.05,0.34,0.00,16,0.16,1,0
36,33,126,53,720,460,43,76,77,77,77,77,77,62,77,49,69,74,60,61,0,1.86490455212922,2.96208530805687,3.43796711509716,2.3719165085389,2.09497206703911,2.47422680412371,0.43,0.95,0.77,0.77,0.77,0.77,0.77,0.62,0.77,0.49,0.69,0.74,0.60,0.61,0.00,82,0.82,4,1
28,21,111,25,775,481,52,49,50,35,18,39,25,60,45,24,42,0,0,25,0,0.690161527165932,0.118483412322275,1.19581464872945,-0.284629981024668,0.558659217877095,0.309278350515466,0.52,0.61,0.50,0.35,0.18,0.39,0.25,0.60,0.45,0.24,0.42,0.00,0.00,0.25,0.00,41,0.41,2,1
17,20,108,26,839,482,36,34,49,59,14,0,0,0,30,33,39,39,15,31,0,-0.925110132158591,-0.118483412322275,0.747384155455904,-0.189753320683112,-1.22905027932961,0.206185567010305,0.36,0.43,0.49,0.59,0.14,0.00,0.00,0.00,0.30,0.33,0.39,0.39,0.15,0.31,0.00,13,0.13,0,0
21,22,104,25,750,478,32,41,1,53,34,24,59,35,69,27,0,0,14,3,0,-0.337738619676946,0.355450236966825,0.149476831091181,-0.284629981024668,1.25698324022346,0.618556701030924,0.32,0.51,0.01,0.53,0.34,0.24,0.59,0.35,0.69,0.27,0.00,0.00,0.14,0.03,0.00,40,0.40,2,1
23,21,106,35,799,476,38,40,13,26,20,28,9,26,21,39,38,16,24,6,0,-0.0440528634361235,0.118483412322275,0.448430493273543,0.664136622390892,-0.111731843575419,0.824742268041238,0.38,0.50,0.13,0.26,0.20,0.28,0.09,0.26,0.21,0.39,0.38,0.16,0.24,0.06,0.00,19,0.19,1,0
18,22,108,24,760,478,29,36,21,0,16,6,36,34,10,22,59,34,0,0,0,-0.778267254038179,0.355450236966825,0.747384155455904,-0.379506641366224,0.977653631284918,0.618556701030924,0.29,0.45,0.21,0.00,0.16,0.06,0.36,0.34,0.10,0.22,0.59,0.34,0.00,0.00,0.00,16,0.16,1,0
22,15,99,33,850,499,46,27,0,44,0,29,0,13,28,4,48,22,20,40,0,-0.190895741556535,-1.30331753554502,-0.597907324364723,0.47438330170778,-1.53631284916201,-1.54639175257732,0.46,0.34,0.00,0.44,0.00,0.29,0.00,0.13,0.28,0.04,0.48,0.22,0.20,0.40,0.00,13,0.13,0,0
21,19,105,35,811,488,23,32,8,42,16,43,14,5,25,11,17,42,2,5,0,-0.337738619676946,-0.355450236966825,0.298953662182362,0.664136622390892,-0.446927374301674,-0.412371134020619,0.23,0.40,0.08,0.42,0.16,0.43,0.14,0.05,0.25,0.11,0.17,0.42,0.02,0.05,0.00,11,0.11,0,0
16,16,102,25,790,491,49,29,12,24,0,0,23,0,44,0,25,28,10,0,0,-1.071953010279,-1.06635071090047,-0.149476831091181,-0.284629981024668,0.139664804469273,-0.721649484536085,0.49,0.36,0.12,0.24,0.00,0.00,0.23,0.00,0.44,0.00,0.25,0.28,0.10,0.00,0.00,9,0.09,0,0
22,19,99,8,850,490,44,26,0,10,14,7,0,13,23,29,26,0,17,0,0,-0.190895741556535,-0.355450236966825,-0.597907324364723,-1.89753320683112,-1.53631284916201,-0.618556701030933,0.44,0.33,0.00,0.10,0.14,0.07,0.00,0.13,0.23,0.29,0.26,0.00,0.17,0.00,0.00,13,0.13,0,0
17,22,99,33,770,478,40,35,26,28,31,23,35,0,0,20,21,27,37,0,0,-0.925110132158591,0.355450236966825,-0.597907324364723,0.47438330170778,0.698324022346369,0.618556701030924,0.40,0.44,0.26,0.28,0.31,0.23,0.35,0.00,0.00,0.20,0.21,0.27,0.37,0.00,0.00,17,0.17,1,0
21,16,104,35,850,490,47,33,41,43,5,35,0,27,6,22,0,24,33,8,0,-0.337738619676946,-1.06635071090047,0.149476831091181,0.664136622390892,-1.53631284916201,-0.618556701030933,0.47,0.41,0.41,0.43,0.05,0.35,0.00,0.27,0.06,0.22,0.00,0.24,0.33,0.08,0.00,17,0.17,1,0
21,17,104,33,762,478,51,43,23,56,11,18,43,36,35,28,46,49,12,30,0,-0.337738619676946,-0.829383886255924,0.149476831091181,0.47438330170778,0.921787709497207,0.618556701030924,0.51,0.54,0.23,0.56,0.11,0.18,0.43,0.36,0.35,0.28,0.46,0.49,0.12,0.30,0.00,28,0.28,1,0
25,17,102,38,775,488,46,41,0,28,0,64,34,43,67,0,55,27,42,0,0,0.249632892804699,-0.829383886255924,-0.149476831091181,0.94876660341556,0.558659217877095,-0.412371134020619,0.46,0.51,0.00,0.28,0.00,0.64,0.34,0.43,0.67,0.00,0.55,0.27,0.42,0.00,0.00,18,0.18,1,0
17,23,101,39,748,469,32,41,22,24,40,34,51,40,6,44,0,39,60,24,0,-0.925110132158591,0.592417061611374,-0.298953662182362,1.04364326375712,1.31284916201117,1.54639175257731,0.32,0.51,0.22,0.24,0.40,0.34,0.51,0.40,0.06,0.44,0.00,0.39,0.60,0.24,0.00,36,0.36,2,0
26,22,102,34,832,476,33,38,36,11,15,43,0,31,50,45,41,47,54,41,0,0.39647577092511,0.355450236966825,-0.149476831091181,0.569259962049336,-1.03351955307263,0.824742268041238,0.33,0.48,0.36,0.11,0.15,0.43,0.00,0.31,0.50,0.45,0.41,0.47,0.54,0.41,0.00,20,0.20,1,0
18,16,94,18,841,493,41,20,0,0,0,0,0,0,0,0,0,0,0,0,55,-0.778267254038179,-1.06635071090047,-1.34529147982063,-0.94876660341556,-1.28491620111732,-0.92783505154639,0.41,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,14,0.14,0,0
26,23,103,28,764,484,37,38,42,24,26,9,32,15,0,3,30,11,0,0,0,0.39647577092511,0.592417061611374,0,0,0.865921787709499,0,0.37,0.48,0.42,0.24,0.26,0.09,0.32,0.15,0.00,0.03,0.30,0.11,0.00,0.00,0.00,13,0.13,0,0
20,19,111,51,841,496,28,39,30,59,13,75,0,35,40,0,66,67,34,32,0,-0.484581497797357,-0.355450236966825,1.19581464872945,2.18216318785579,-1.28491620111732,-1.23711340206186,0.28,0.49,0.30,0.59,0.13,0.75,0.00,0.35,0.40,0.00,0.66,0.67,0.34,0.32,0.00,35,0.35,2,0
34,20,117,42,733,469,35,50,8,0,12,17,51,24,50,6,0,40,8,0,0,1.5712187958884,-0.118483412322275,2.09267563527653,1.32827324478178,1.73184357541899,1.54639175257731,0.35,0.63,0.08,0.00,0.12,0.17,0.51,0.24,0.50,0.06,0.00,0.40,0.08,0.00,0.00,31,0.31,2,0
13,28,113,32,744,481,34,43,28,22,54,51,59,0,44,2,69,47,62,0,0,-1.51248164464024,1.77725118483412,1.49476831091181,0.379506641366224,1.42458100558659,0.309278350515466,0.34,0.54,0.28,0.22,0.54,0.51,0.59,0.00,0.44,0.02,0.69,0.47,0.62,0.00,0.00,20,0.20,1,0
28,19,102,29,793,492,28,31,17,0,9,0,21,18,4,0,31,31,0,16,0,0.690161527165932,-0.355450236966825,-0.149476831091181,0.094876660341556,0.0558659217877108,-0.824742268041238,0.28,0.39,0.17,0.00,0.09,0.00,0.21,0.18,0.04,0.00,0.31,0.31,0.00,0.16,0.00,8,0.08,0,0
37,22,100,24,838,481,46,36,0,11,21,0,0,33,8,12,20,6,3,43,0,2.01174743024963,0.355450236966825,-0.448430493273543,-0.379506641366224,-1.20111731843576,0.309278350515466,0.46,0.45,0.00,0.11,0.21,0.00,0.00,0.33,0.08,0.12,0.20,0.06,0.03,0.43,0.00,14,0.14,0,0
21,26,113,35,725,469,58,55,36,41,45,29,10,16,0,36,0,9,0,6,0,-0.337738619676946,1.30331753554502,1.49476831091181,0.664136622390892,1.95530726256983,1.54639175257731,0.58,0.69,0.36,0.41,0.45,0.29,0.10,0.16,0.00,0.36,0.00,0.09,0.00,0.06,0.00,59,0.59,3,1
21,15,90,10,850,500,42,25,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.337738619676946,-1.30331753554502,-1.94319880418535,-1.70777988614801,-1.53631284916201,-1.64948453608248,0.42,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1,0.01,0,0
21,23,95,24,793,492,52,33,0,8,30,47,10,6,34,0,0,0,18,1,0,-0.337738619676946,0.592417061611374,-1.19581464872945,-0.379506641366224,0.0558659217877108,-0.824742268041238,0.52,0.41,0.00,0.08,0.30,0.47,0.10,0.06,0.34,0.00,0.00,0.00,0.18,0.01,0.00,16,0.16,1,0
21,22,99,33,764,480,47,40,10,19,32,25,16,0,33,13,56,22,1,0,0,-0.337738619676946,0.355450236966825,-0.597907324364723,0.47438330170778,0.865921787709499,0.412371134020619,0.47,0.50,0.10,0.19,0.32,0.25,0.16,0.00,0.33,0.13,0.56,0.22,0.01,0.00,0.00,17,0.17,1,0
16,27,109,38,763,475,36,46,27,11,41,27,46,42,52,23,49,46,31,40,0,-1.071953010279,1.54028436018957,0.896860986547085,0.94876660341556,0.893854748603353,0.92783505154639,0.36,0.58,0.27,0.11,0.41,0.27,0.46,0.42,0.52,0.23,0.49,0.46,0.31,0.40,0.00,38,0.38,2,0
28,18,107,17,850,494,33,34,52,11,17,6,6,68,69,8,69,63,65,33,0,0.690161527165932,-0.592417061611374,0.597907324364723,-1.04364326375712,-1.53631284916201,-1.03092783505155,0.33,0.43,0.52,0.11,0.17,0.06,0.06,0.68,0.69,0.08,0.69,0.63,0.65,0.33,0.00,42,0.42,2,1
35,20,103,38,750,478,24,42,31,52,2,4,51,39,58,14,0,51,19,69,0,1.71806167400881,-0.118483412322275,0,0.94876660341556,1.25698324022346,0.618556701030924,0.24,0.53,0.31,0.52,0.02,0.04,0.51,0.39,0.58,0.14,0.00,0.51,0.19,0.69,0.00,26,0.26,1,0
21,22,92,21,809,478,21,25,0,0,23,0,20,0,0,33,0,12,0,8,0,-0.337738619676946,0.355450236966825,-1.64424514200299,-0.664136622390892,-0.391061452513966,0.618556701030924,0.21,0.31,0.00,0.00,0.23,0.00,0.20,0.00,0.00,0.33,0.00,0.12,0.00,0.08,0.00,10,0.10,0,0
21,19,93,22,775,491,41,27,30,0,4,36,20,1,0,0,21,0,48,0,0,-0.337738619676946,-0.355450236966825,-1.49476831091181,-0.569259962049336,0.558659217877095,-0.721649484536085,0.41,0.34,0.30,0.00,0.04,0.36,0.20,0.01,0.00,0.00,0.21,0.00,0.48,0.00,0.00,11,0.11,0,0
19,26,108,40,752,478,25,41,40,0,20,47,27,5,2,5,0,19,6,5,0,-0.631424375917768,1.30331753554502,0.747384155455904,1.13851992409867,1.20111731843576,0.618556701030924,0.25,0.51,0.40,0.00,0.20,0.47,0.27,0.05,0.02,0.05,0.00,0.19,0.06,0.05,0.00,11,0.11,0,0
22,20,107,31,771,478,51,43,41,39,10,25,32,24,0,19,58,0,0,3,0,-0.190895741556535,-0.118483412322275,0.597907324364723,0.284629981024668,0.670391061452515,0.618556701030924,0.51,0.54,0.41,0.39,0.10,0.25,0.32,0.24,0.00,0.19,0.58,0.00,0.00,0.03,0.00,20,0.20,1,0
33,22,108,32,788,483,18,39,53,0,8,54,33,50,3,0,31,0,13,13,0,1.42437591776799,0.355450236966825,0.747384155455904,0.379506641366224,0.195530726256984,0.103092783505152,0.18,0.49,0.53,0.00,0.08,0.54,0.33,0.50,0.03,0.00,0.31,0.00,0.13,0.13,0.00,9,0.09,0,0
