Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Avoid_Drops,Get_Downfield,Route_Running,Third_Down_Receiving,Big_Play_Receiving,Courage,Adjust_to_Ball,Punt_Returns,Kick_Returns,Endurance,Special_Teams,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Avoid_DropsZ,Get_DownfieldZ,Route_RunningZ,Third_Down_ReceivingZ,Big_Play_ReceivingZ,CourageZ,Adjust_to_BallZ,Punt_ReturnsZ,Kick_ReturnsZ,EnduranceZ,Special_TeamsZ,PeakCur,PeakCurZ,Ability,Draftable
19,11,107,42,725,474,36,30,0,14,17,14,0,24,46,0,0,4,11,-0.286123032904149,0.355987055016181,-0.223577235772357,0.17102615694165,0.0515463917525762,-1.73076923076924,0.36,0.38,0.00,0.14,0.17,0.14,0.00,0.24,0.46,0.00,0.00,0.04,0.11,10,0.10,0,0
18,9,110,38,720,447,53,45,33,52,0,0,59,13,15,8,37,31,59,-0.429184549356223,-0.29126213592233,0.386178861788619,-0.231388329979879,0.309278350515462,0.865384615384614,0.53,0.56,0.33,0.52,0.00,0.00,0.59,0.13,0.15,0.08,0.37,0.31,0.59,28,0.28,1,0
14,12,114,36,727,450,24,32,0,20,0,37,35,19,30,0,58,0,10,-1.00143061516452,0.679611650485437,1.19918699186992,-0.432595573440644,-0.0515463917525762,0.576923076923073,0.24,0.40,0.00,0.20,0.00,0.37,0.35,0.19,0.30,0.00,0.58,0.00,0.10,18,0.18,1,0
20,7,107,40,757,474,45,28,27,0,46,10,0,0,27,0,0,39,51,-0.143061516452074,-0.938511326860842,-0.223577235772357,-0.0301810865191144,-1.5979381443299,-1.73076923076924,0.45,0.35,0.27,0.00,0.46,0.10,0.00,0.00,0.27,0.00,0.00,0.39,0.51,11,0.11,0,0
25,8,108,41,720,453,48,44,31,39,22,40,15,13,12,0,0,20,21,0.572246065808298,-0.614886731391586,-0.0203252032520314,0.0704225352112679,0.309278350515462,0.288461538461532,0.48,0.55,0.31,0.39,0.22,0.40,0.15,0.13,0.12,0.00,0.00,0.20,0.21,15,0.15,0,0
17,13,102,36,751,458,20,27,8,0,0,45,16,35,33,0,0,31,30,-0.572246065808298,1.00323624595469,-1.23983739837398,-0.432595573440644,-1.28865979381443,-0.192307692307697,0.20,0.34,0.08,0.00,0.00,0.45,0.16,0.35,0.33,0.00,0.00,0.31,0.30,9,0.09,0,0
22,6,106,46,714,459,38,41,59,45,29,62,0,0,35,0,0,0,50,0.143061516452074,-1.2621359223301,-0.426829268292682,0.573440643863179,0.618556701030928,-0.288461538461541,0.38,0.51,0.59,0.45,0.29,0.62,0.00,0.00,0.35,0.00,0.00,0.00,0.50,13,0.13,0,0
13,5,103,44,760,470,37,26,24,10,38,30,24,13,28,0,0,57,50,-1.1444921316166,-1.58576051779935,-1.03658536585366,0.372233400402415,-1.75257731958763,-1.34615384615385,0.37,0.33,0.24,0.10,0.38,0.30,0.24,0.13,0.28,0.00,0.00,0.57,0.50,13,0.13,0,0
25,6,121,41,708,461,9,35,3,53,34,42,0,0,27,0,58,27,0,0.572246065808298,-1.2621359223301,2.6219512195122,0.0704225352112679,0.92783505154639,-0.480769230769238,0.09,0.44,0.03,0.53,0.34,0.42,0.00,0.00,0.27,0.00,0.58,0.27,0.00,12,0.12,0,0
18,5,107,44,716,451,46,38,6,34,7,13,16,0,20,0,0,0,15,-0.429184549356223,-1.58576051779935,-0.223577235772357,0.372233400402415,0.515463917525771,0.480769230769229,0.46,0.48,0.06,0.34,0.07,0.13,0.16,0.00,0.20,0.00,0.00,0.00,0.15,16,0.16,1,0
13,13,106,41,720,454,20,28,30,25,0,17,10,27,0,0,0,16,15,-1.1444921316166,1.00323624595469,-0.426829268292682,0.0704225352112679,0.309278350515462,0.192307692307688,0.20,0.35,0.30,0.25,0.00,0.17,0.10,0.27,0.00,0.00,0.00,0.16,0.15,14,0.14,0,0
9,13,108,38,720,464,24,27,17,47,20,5,3,66,24,0,0,0,18,-1.71673819742489,1.00323624595469,-0.0203252032520314,-0.231388329979879,0.309278350515462,-0.76923076923077,0.24,0.34,0.17,0.47,0.20,0.05,0.03,0.66,0.24,0.00,0.00,0.00,0.18,9,0.09,0,0
9,9,106,47,735,451,25,27,13,18,0,18,32,13,35,0,0,24,14,-1.71673819742489,-0.29126213592233,-0.426829268292682,0.674044265593562,-0.463917525773195,0.480769230769229,0.25,0.34,0.13,0.18,0.00,0.18,0.32,0.13,0.35,0.00,0.00,0.24,0.14,15,0.15,0,0
35,13,107,62,694,444,21,56,66,72,77,66,40,77,59,0,0,61,77,2.00286123032904,1.00323624595469,-0.223577235772357,2.1830985915493,1.64948453608247,1.15384615384615,0.21,0.70,0.66,0.72,0.77,0.66,0.40,0.77,0.59,0.00,0.00,0.61,0.77,71,0.71,4,1
12,10,108,50,724,450,41,35,44,16,11,0,25,17,45,0,0,0,2,-1.28755364806867,0.0323624595469255,-0.0203252032520314,0.975855130784709,0.103092783505152,0.576923076923073,0.41,0.44,0.44,0.16,0.11,0.00,0.25,0.17,0.45,0.00,0.00,0.00,0.02,15,0.15,0,0
11,15,104,39,712,441,16,37,9,40,0,31,74,67,31,0,0,0,34,-1.43061516452074,1.6504854368932,-0.833333333333332,-0.130784708249497,0.721649484536081,1.44230769230769,0.16,0.46,0.09,0.40,0.00,0.31,0.74,0.67,0.31,0.00,0.00,0.00,0.34,25,0.25,1,0
